"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Learning Domain Invariant Word Representations for Parsing Domain Adaptation","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-030-32233-5_62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075570413&doi=10.1007%2f978-3-030-32233-5_62&partnerID=40&md5=cea56bb7fc15d871c49dee75e87c5f6b","We show that strong domain adaptation results for dependency parsing can be achieved using a conceptually simple method that learns domain-invariant word representations. Lacking labeled resources, dependency parsing for low-resource domains has been a challenging task. Existing work considers adapting a model trained on a resource-rich domain to low-resource domains. A mainstream solution is to find a set of shared features across domains. For neural network models, word embeddings are a fundamental set of initial features. However, little work has been done investigating this simple aspect. We propose to learn domain-invariant word representations by fine-tuning pretrained word representations adversarially. Our parser achieves error reductions of 5.6% UAS, 7.9% LAS on PTB respectively, and 4.2% UAS, 3.2% LAS on Genia respectively, showing the effectiveness of domain invariant word representations for alleviating lexical bias between source and target data. © 2019, Springer Nature Switzerland AG.","Conference paper","Final","Scopus"
"Approach to the Intellectual Monitoring of the Technical Condition of Difficult Dynamic Objects on the Basis of the Systems of a Polling","2019","Communications in Computer and Information Science","10.1007/978-3-030-36625-4_45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077493398&doi=10.1007%2f978-3-030-36625-4_45&partnerID=40&md5=5362d64bc59597bde11747984bd8dc48","The increase in the requirements to the quality of functioning of difficult dynamic objects (robotic complexes, self-driving cars and aircraft, etc.) and also to their safety and reliability made especially relevant a problem of monitoring of their technical condition, taking into account different impact of the attacks and the destabilizing factors, aging and technological dispersion of parameters. In article new approach to intellectual monitoring of a condition of such objects is offered. This approach is based on the interval estimation of parameters, use of the knowledge base about critical and regular conditions and application of a system of a polling in the course of transfer of measuring information. The architecture and realization of an intellectual system of monitoring of a condition of difficult autonomous technical objects is considered. The carried-out experimental assessment of the offered approach showed that use of the systems of a polling at poll of applications refusals in the course of serviceability check of objects allows to make accurate fixing of their technical states that increases the accuracy and reliability of results of identification of states and also to expand possibilities of use of technical means of control and diagnostics in the systems of monitoring. © 2019, Springer Nature Switzerland AG.","Conference paper","Final","Scopus"
"Safeguarding NMA enhanced Galileo os signals from distance-decreasing attacks","2019","Proceedings of the 32nd International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS+ 2019","10.33012/2019.17114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075269802&doi=10.33012%2f2019.17114&partnerID=40&md5=08287c3061230deb4c47de164ecd2365","Increased use of global satellite navigation systems (GNSS), for applications such as autonomous vehicles, intelligent transportation systems and drones, heightens security concerns. Civil GNSS signals are vulnerable to notably spoofing and replay attacks. To counter such attacks, cryptographic methods are developed: Navigation Message Authentication (NMA) is one such scheme, about to be deployed for Galileo E1 Open Service (OS); it allows receivers to verify the signal origin and protects navigation message integrity. However, NMA signals cannot fully thwart replay attacks, which do not require forging navigation messages. Classic replay attacks, e.g, meaconing, retransmit previously recorded signals without any modification, thus highly limiting the capacity of the adversary. Distance-decreasing (DD) attacks are a strong type of replay attack, allowing fine-grained individual pseudorange manipulation in real time. Moreover, DD attacks counterbalance processing and transmission delays induced by adversary, by virtue of shifting earlier in time the perceived (relayed) signal arrival; thus shortening the pseudorange measurements. In this paper, we first analyze how DD attacks can harm the Galileo E1 OSNMA service assuming the adversary has no prior information on the navigation message. Moreover,we propose a DD attack detection method based on a Goodness of Fit test on the prompt correlator outputs of the victim. The results show that the method can detect the DD attacks even when the receiver has locked to the DD signals. © 2019, Institute of Navigation.","Conference paper","Final","Scopus"
"UAV-Enabled Multiple Traffic Backhaul Based on Multiple RANs: A Batch-Arrival-Queuing-Inspired Approach","2019","IEEE Access","10.1109/ACCESS.2019.2951603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077808518&doi=10.1109%2fACCESS.2019.2951603&partnerID=40&md5=60171af3c5019644a8996884ac774bb2","In this paper, we investigate the air-To-ground multi-Traffic backhaul enabled by unmanned aerial vehicle (UAV) equipped with multiple radio access networks (RANs). Faced with the challenging traffic designation problem over diverse RANs, an efficient packet delivery scheme based on multi-priority batch arrival queuing theory is proposed to match various traffics with multiple RANs. Specifically, our contributions are three-fold: 1) The average queuing time of UAV-enabled multi-RAN access is theoretically derived according to multi-priority batch arrival queuing theory. 2) The priority factor and z-Type utility function are well tailored by leveraging the derived queuing time. 3) A multiple traffic backhaul strategy is further proposed by exploiting the priority factor and z-Type utility function to optimize the packet delivery, i.e., maximizing the delay utility via joint network selection and power allocation for diverse RANs. The simulation results show that the average delay of delay-sensitive packets is reduced by 15%, and the overall packet delivery quality is improved considerably. © 2013 IEEE.","Article","Final","Scopus"
"Simulation and test of discrete mobile surfaces for a RC-aircraft","2019","Aerospace","10.3390/aerospace6110122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075834223&doi=10.3390%2faerospace6110122&partnerID=40&md5=bdf56410cfaf5923719b79720262b39a","Morphing structures suitable for unmanned aerial vehicles (UAVs) have been investigated for several years. This paper presents a novel lightweight, morphing concept based on the exploitation of the ""lever effect"" of a bistable composite plate that can be integrated in an UAV horizontal tail. Flight dynamics equations are solved in Simulink environment, thus being able to simulate and compare different flight conditions with conventional and bistable command surfaces. Subsequently, bistable plates are built by using composite materials, paying particular attention to dimensions, asymmetric stacking sequence and total thickness needed to achieve bistability. NACA0011 airfoil is chosen for proving this concept. Wind tunnel tests demonstrate that the discrete surface is capable of withstanding the aerodynamic pressure. A remotely piloted vehicle is employed to test the discrete horizontal tail command during the take-off. The results show that, choosing a proper configuration of constraints, stacking sequence and aspect ratio for the bistable laminate, it is possible to tailor the snap-through mechanism. The proposed concept appears lighter and increases aerodynamic efficiency when compared to conventional UAV command surfaces. © 2019 by the authors.","Article","Final","Scopus"
"Emerging vistas of remote sensing tools in pollination studies","2019","Sociobiology","10.13102/sociobiology.v66i3.4266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075641660&doi=10.13102%2fsociobiology.v66i3.4266&partnerID=40&md5=1827d54e8e5d4c7c6c7dd3b57e59f885","With the growth of information and technology across the globe, remote sensing applications find a place in the ecological studies of pollinators. The utilization of remote sensing tools in understanding the ecosystem services rendered by the bee pollinators is reviewed here. We discussed how radar and radio telemetry techniques help to track individual bees, their foraging behaviour and density in relation to altered phenology of flowering crops in a landscape. Satellite imagery tools represent a set of techniques used to assess landscape affected by anthropogenic factors that directly influence pollination ecology of bees. Habitat modelling data were generated using tools like Moderate Resolution Imaging Spectroradiometer to monitoring invasive bee species that cause a threat to native bee fauna. We explained the utilization of unmanned aerial vehicles to map the floral resources that influence the density and incidence of pollinators. Remote sensing tools were used to measure sequences of pollination events. © 2019 Universidade Estadual de Feira de Santana. All rights reserved.","Article","Final","Scopus"
"Adversarial attack, defense, and applications with deep learning frameworks","2019","Advanced Sciences and Technologies for Security Applications","10.1007/978-3-030-13057-2_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075907489&doi=10.1007%2f978-3-030-13057-2_1&partnerID=40&md5=0175b7d3f24ddab06329550b75b24882","In recent years, deep learning frameworks have been applied in many domains and achieved promising performance. However, recent work have demonstrated that deep learning frameworks are vulnerable to adversarial attacks. A trained neural network can be manipulated by small perturbations added to legitimate samples. In computer vision domain, these small perturbations could be imperceptible to human. As deep learning techniques have become the core part for many security-critical applications including identity recognition camera, malware detection software, self-driving cars, adversarial attacks have become one crucial security threat to many deep learning applications in real world. In this chapter, we first review some state-of-the-art adversarial attack techniques for deep learning frameworks in both white-box and black-box settings. We then discuss recent methods to defend against adversarial attacks on deep learning frameworks. Finally, we explore recent work applying adversarial attack techniques to some popular commercial deep learning applications, such as image classification, speech recognition and malware detection. These projects demonstrate that many commercial deep learning frameworks are vulnerable to malicious cyber security attacks. © Springer Nature Switzerland AG 2019.","Book chapter","Final","Scopus"
"Driver-friendly emergency collision avoidance system via flatness direct yaw moment control","2019","Proceedings of the ASME Design Engineering Technical Conference","10.1115/DETC2019-98174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076467331&doi=10.1115%2fDETC2019-98174&partnerID=40&md5=8cef9d818a444c4d28594596e9484366","Unlike an autonomous driving system, a shared control system keeps the driver in the loop to exploit human’s decision-making, path-planning, and control skills in vehicle motion control. In the meantime, a shared control system consistently provides support to the driver in hazardous situations. Typical shared control systems concentrate on altering vehicle steering actions through either active front steering or haptic steering torque. However, an active front steering system requires costly hardware and a haptic steering torque explicitly interferences with the driver hand-wheel steering. To overcome the drawbacks of the steering-based strategies, this paper introduces a driver support system based on direct yaw moment control for high-speed collision avoidance maneuvers. The new system maintains a hierarchical structure with a high-level lateral velocity planner and a low-level lateral velocity governor. In addition, the personally-preferred collision avoidance trajectories of each driver are taken into account to make the controller personalizable. Carsim-Simulink joint simulations demonstrate that this novel shared control system can successfully assist the driver in high-speed collision avoidance maneuvers. Moreover, both physical and mental loads of the driver are substantially reduced in contrast to using an active front steering system. Copyright © 2019 ASME.","Conference paper","Final","Scopus"
"Beach safety: Can drones provide a platform for sighting sharks?","2019","Wildlife Research","10.1071/WR18119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076690649&doi=10.1071%2fWR18119&partnerID=40&md5=209f1f543bd92826d0209c468860798d","Context: A series of unprovoked shark attacks on New South Wales (Australia) beaches between 2013 and 2015 triggered an investigation of new and emerging technologies for protecting bathers. Traditionally, bather protection has included several methods for shark capture, detection and/or deterrence but has often relied on environmentally damaging techniques. Heightened environmental awareness, including the important role of sharks in the marine ecosystem, demands new techniques for protection from shark attack. Recent advances in drone-related technologies have enabled the possibility of real-time shark detection and alerting. Aim: To determine the reliability of drones to detect shark analogues in the water across a range of environmental conditions experienced on New South Wales beaches. Methods: A standard multirotor drone (DJI Inspire 1) was used to detect shark analogues as a proxy during flights at 0900, 1200 and 1500 hours over a 3-week period. The 27 flights encompassed a range of environmental conditions, including wind speed (2-30.0 km h-1), turbidity (0.4-6.4 m), cloud cover (0-100%), glare (0-100%), seas (0.4-1.4 m), swells (1.4-2.5 m) and sea state (Beaufort Scale 1-5 Bf). Key results: Detection rates of the shark analogues over the 27 flights were significantly higher for the independent observer conducting post-flight video analysis (50%) than for the drone pilot (38%) (Wald P = 0.04). Water depth and turbidity significantly impaired detection of analogues (Wald P = 0.04). Specifically, at a set depth of 2 m below the water surface, very few analogues were seen by the observer or pilot when water turbidity reduced visibility to less than 1.5 m. Similarly, when water visibility was greater than 1.5 m, the detection rate was negatively related to water depth. Conclusions: The present study demonstrates that drones can fly under most environmental conditions and would be a cost-effective bather protection tool for a range of user groups. Implications: The most effective use of drones would occur during light winds and in shallow clear water. Although poor water visibility may restrict detection, sharks spend large amounts of time near the surface, therefore providing a practical tool for detection in most conditions. © CSIRO 2019 Open Access.","Article","Final","Scopus"
"Delay-aware iot task scheduling in space-air-ground integrated network","2019","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOBECOM38437.2019.9013393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077770619&doi=10.1109%2fGLOBECOM38437.2019.9013393&partnerID=40&md5=78a1752cdcc582ebf5e41ad5e54a2d8b","Due to the versatile networking capability, space- air-ground integrated network (SAGIN) becomes a prominent future architecture to support the ever- increasing Internet of Things (IoT) applications. In this paper, we investigate the IoT task offloading under an SAGIN scenario where multiple IoT devices generate computing tasks to be processed. We adopt an unmanned aerial vehicle (UAV) to fly along a given trajectory to collect the tasks of IoT devices within the coverage area, and then makes the online offloading decision, i.e., processing locally, or offloading to the nearby base station or the far-away satellite. However, due to the constrained energy resources committed by UAV and the uncertainty of the system dynamics, designing an efficient computation task offloading algorithm is challenging. This dynamic scheduling problem is formulated as a constrained Markov decision process (CMDP), considering the stochastic channel conditions, UAV coverage, energy consumption, and task queue backlogs. By exploiting the stationary stochastic feature of the CMDP, the problem can be solved by the linear programming to find a stochastic policy. Simulation results demonstrate that the proposed computation offloading scheme can significantly reduce IoT task processing delay as compared to other benchmarks. © 2019 IEEE.","Conference paper","Final","Scopus"
"Nonlinearity-Based Single-Channel Monopulse Tracking Method for OFDM-Aided UAV A2G Communications","2019","IEEE Access","10.1109/ACCESS.2019.2946960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077199069&doi=10.1109%2fACCESS.2019.2946960&partnerID=40&md5=b183488819c3a064820aa88563a5562f","Unmanned aerial vehicles (UAVs) have attracted great interest in rapid deployment for both civilian and military applications. The conventional UAV monopulse tracking technique requires dedicated pulses which suffer from multipath effect in air-To-ground (A2G) link with low elevation angles, whereas the orthogonal frequency division multiplexing (OFDM) for A2G high rate communication under frequency selective fading channel was not yet investigated for UAV target tracking at ground station. In this paper, we propose a single-channel monopulse tracking (SCMT) angle estimation method in OFDM tracking receiver exploiting square-and absolute-value nonlinear detection of amplitude-modulated difference signals. Extensive simulations are conducted to validate the proposed estimation method in terms of estimation range and estimation root mean squared error (RMSE). Results show that, the proposed angle estimation method exhibits S-shaped curve characteristic under different angle errors, which is insensitive to channels and modulations. The proposed method obtains angle estimation RMSEs smaller than 0.18° for antenna element distance d=\,\,0.5 m with 10 MHz OFDM signals. For both square-and absolute-value methods, a maximum degradation of 0.02° for angle estimation RMSEs is observed under Rician channels compared with the estimation under additive white Gaussian noise (AWGN) channels, whereas the absolute-value estimation outperforms the square-value estimation. © 2013 IEEE.","Article","Final","Scopus"
"Real-Time Monocular Vision-Based UAV Obstacle Detection and Collision Avoidance in GPS-Denied Outdoor Environments Using CNN MobileNet-SSD","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-030-33749-0_49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075681207&doi=10.1007%2f978-3-030-33749-0_49&partnerID=40&md5=e15ce2293ef3641813fa59a004d7d672","In this paper, we propose a monocular vision-based system that uses a MobileNet-SSD CNN for obstacle detection and collision avoidance in GPS-denied outdoor environments. This framework consists of two processes carried out simultaneously in a frame-to-frame basis: (1) an obstacle detector and classifier using a lightweight convolutional neural network with a UAV monocular onboard camera for real-time mobile systems; (2) a collision avoidance algorithm with a proportional controller responsible for the autonomous flight in GPS-denied outdoor environments. However, because object detection and classification are computationally intensive tasks, the processing is carried out off-board on a ground control station that receives online imagery and data of the UAV during the autonomous flight. The novel aspects in this work are related to the capacity of the system to detect and avoid obstacles in real-time with computationally low range hardware without GPU. We exploit public datasets meant for other purposes and carefully selected images to build a new lightweight dataset to train the CNN. Further, the output imagery data is used by a proportional controller that communicates back to the vehicle to evaluate a possible obstacle avoidance trajectory and execute it if necessary. We carried out evaluations and flights in real scenarios with multiple obstacles such as vehicles, people, bicycles, and trees for autonomous flights in GPS-denied outdoor environments with promising results. © Springer Nature Switzerland AG 2019.","Conference paper","Final","Scopus"
"Game Theoretic Optimal User Association in Emergency Networks","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-030-31831-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075710915&doi=10.1007%2f978-3-030-31831-4_2&partnerID=40&md5=74653c0c5dd1cb9bb92057c387bfcd2e","The availability of effective communications in post-disaster scenarios is key to implement emergency networks that enable the sharing of critical information and support the coordination of the emergency response. To deliver those levels of QoS suitable to these applications, it is vital to exploit the multiple communication opportunities made available by the progressive deployment of the 5G and Smart City paradigms, ranging from ad-hoc networks among smartphones and surviving IoT devices, to cellular networks but also drone-based and vehicle-based wireless access networks. Therefore, the user device should be able to opportunistically select the most convenient among them to satisfy the demands for QoS imposed by the applications and also minimize the power consumption. The driving idea of this paper is to leverage non-cooperative game theory to design such an opportunistic user association strategy in a post-disaster scenario using UAV ad-hoc networks. The adaptive game-theoretic scheme allows increasing of the QoS of the communication means by lowering the loss rate and also keeps moderate the energy consumption. © 2019, Springer Nature Switzerland AG.","Conference paper","Final","Scopus"
"20th International Conference on Intelligent Data Engineering and Automated Learning, IDEAL 2019","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076986850&partnerID=40&md5=6e7acb2aa0c8c8eae9f0168a9dd7ec7c","The proceedings contain 58 papers. The special focus in this conference is on Intelligent Data Engineering and Automated Learning. The topics include: Modelling Survival by Machine Learning Methods in Liver Transplantation: Application to the UNOS Dataset; design and Development of an Automatic Blood Detection System for Capsule Endoscopy Images; comparative Analysis for Computer-Based Decision Support: Case Study of Knee Osteoarthritis; a Clustering-Based Patient Grouper for Burn Care; a Comparative Assessment of Feed-Forward and Convolutional Neural Networks for the Classification of Prostate Lesions; A Method Based on Filter Bank Common Spatial Pattern for Multiclass Motor Imagery BCI; safe Deep Neural Network-Driven Autonomous Vehicles Using Software Safety Cages; Wave and Viscous Resistance Estimation by NN; Neural Controller of UAVs with Inertia Variations; unsupervised Initialization of Archetypal Analysis and Proportional Membership Fuzzy Clustering; a Metric Framework for Quantifying Data Concentration; adaptive Machine Learning-Based Stock Prediction Using Financial Time Series Technical Indicators; exploiting Online Newspaper Articles Metadata for Profiling City Areas; modelling the Social Interactions in Ant Colony Optimization; an Innovative Deep-Learning Algorithm for Supporting the Approximate Classification of Workloads in Big Data Environments; control-Flow Business Process Summarization via Activity Contraction; classifying Flies Based on Reconstructed Audio Signals; studying the Evolution of the ‘Circular Economy’ Concept Using Topic Modelling; mining Frequent Distributions in Time Series; time Series Display for Knowledge Discovery on Selective Laser Melting Machines; multimodal Web Based Video Annotator with Real-Time Human Pose Estimation; using Prior Knowledge to Facilitate Computational Reading of Arabic Calligraphy; SMOTE Algorithm Variations in Balancing Data Streams.","Conference review","Final","Scopus"
"The Disbanding Attack: Exploiting Human-in-the-Loop Control in Vehicular Platooning","2019","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","10.1007/978-3-030-37231-6_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076886827&doi=10.1007%2f978-3-030-37231-6_9&partnerID=40&md5=782182dd7f56b8578e7462cb784fb77d","Due to advances in automated vehicle technology and inter-vehicle communication, vehicular platoons have attracted a growing interest by academia and industry alike, as they can produce safe driving, regularize traffic flow, and increase throughput. Research has demonstrated, however, that when platoons are placed in an adversarial environment, they are vulnerable to a variety of attacks that could negatively impact traffic flow and produce collisions and/or injuries. In this work, we consider an attack that seeks to exploit human-in-the-loop control of compromised vehicles that are part of a platoon. Specifically, we demonstrate that should a human operator need to suddenly take control of a platooned vehicle, significant upstream effects, which threaten the safety of passengers in other vehicles, may be induced. To counter this so-called disbanding attack, we present an optimal centralized mitigation approach. Due to scalability, security, and privacy concerns, such an approach may not be practical in reality. Hence, we also propose a decentralized mitigation algorithm that reduces excessive speed changes and coordinates inter-platoon behaviors to minimize the attack impacts. Our algorithm is compared to the aforementioned optimal approach and is shown to produce nearly equivalent results while requiring fewer resources. Experimental results on a hardware testbed show that our countermeasure permits graceful speed reductions and can provide safety, i.e., no collisions. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2019.","Conference paper","Final","Scopus"
"Intrusion Prevention System for DDoS Attack on VANET with reCAPTCHA Controller Using Information Based Metrics","2019","IEEE Access","10.1109/ACCESS.2019.2945682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077967062&doi=10.1109%2fACCESS.2019.2945682&partnerID=40&md5=9e5ae7408848086435a1a35eb92af6ae","Due to the dynamic in nature, the vulnerabilities that exist in VANET are much higher when compared with that of the wired network infrastructure. In DoS attacks, the legitimate users are prohibited from accessing the services or network resource. The primary goal of the attack to make the desired destination vehicle unavailable or relegate the message all the way through the network affects the reachability. The proposed reCAPTCHA controller mechanism prevents the automated attacks similarly like botnet zombies. The reCAPTCHA controller is used to check and prohibit most of the automated DDoS attacks. For implementing this technique, the information theory based metric is used to analyze the deviation in users request in terms of entropy. Frequency and entropy are the metrics used to measure the vulnerability of the attack. The stochastic model based reCAPTCHA controller is used as a prevention mechanism for the large botnet based attackers. To inspect the efficiency of the proposed method, various network parameters are considered such as Packet Delivery Ratio (PDR), Average Latency (AL), Detection Rate (DR) and Energy Consumption (EC). In the proposed research work, the metric PDR is used to know successful delivery of data packets to the destination vehicle without any interrruption. These parameters are used to measure how effectively the data is delivered to the destination from source vehicle. © 2019 IEEE.","Article","Final","Scopus"
"22nd International Conference on Medical Image Computing and Computer-Assisted Intervention, MICCAI 2019","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075664765&partnerID=40&md5=d685e755d3da995f1d69f035934bbb8b","The proceedings contain 444 papers. The special focus in this conference is on International Conference on Medical Image Computing and Computer-Assisted Intervention. The topics include: Patient-specific conditional joint models of shape, image features and clinical indicators; surface-based spatial pyramid matching of cortical regions for analysis of cognitive performance; diagnosis-guided multi-modal feature selection for prognosis prediction of lung squamous cell carcinoma; graph convolution based attention model for personalized disease prediction; predicting early stages of neurodegenerative diseases via multi-task low-rank feature learning; improved prediction of cognitive outcomes via globally aligned imaging biomarker enrichments over progressions; deep granular feature-label distribution learning for neuroimaging-based infant age prediction; End-to-end dementia status prediction from brain MRI using multi-task weakly-supervised attention network; Unified modeling of imputation, forecasting, and prediction for AD progression; exploiting reliability-guided aggregation for the assessment of curvilinear structure tortuosity; LSTM network for prediction of hemorrhagic transformation in acute stroke; Inter-modality dependence induced data recovery for MCI conversion prediction; preprocessing, prediction and significance: framework and application to brain imaging; early prediction of alzheimer’s disease progression using variational autoencoders; integrating heterogeneous brain networks for predicting brain disease conditions; uncertainty-informed detection of epileptogenic brain malformations using bayesian neural networks; automated lesion detection by regressing intensity-based distance with a neural network; intracranial aneurysm detection from 3d vascular mesh models with ensemble deep learning; automated noninvasive seizure detection and localization using switching markov models and convolutional neural networks; multiple landmark detection using multi-agent reinforcement learning; a surface-theoretic approach for statistical shape modeling; unsupervised anomaly localization using variational auto-encoders.","Conference review","Final","Scopus"
"Monte Carlo continual resolving for online strategy computation in imperfect information games","2019","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077019817&partnerID=40&md5=744268858ef41460a67fc34b51044046","Online game playing algorithms produce high-quality strategies with a fraction of memory and computation required by their offline alternatives. Continual Resolving (CR) is a recent theoretically sound approach to online game playing that has been used to outperform human professionals in poker. However, parts of the algorithm were specific to poker, which enjoys many properties not shared by other imperfect information games. We present a domain-independent formulation of CR applicable to any twoplayer zero-sum extensive-form games (EFGs). It works with an abstract resolving algorithm, which can be instantiated by various EFG solvers. We further describe and implement its Monte Carlo variant (MCCR) which uses Monte Carlo Counterfactual Regret Minimization (MCCFR) as a resolver. We prove the correctness of CR and show an O(T-1/2 (-dependence of MCCR's exploitability on the computation time. Furthermore, we present an empirical comparison of MCCR with incremental tree building to Online Outcome Sampling and Information-set MCTS on several domains. © 2019 International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS). All rights reserved.","Conference paper","Final","Scopus"
"Point-of-care cervical cancer screening using deep learning-based microholography","2019","Theranostics","10.7150/thno.37187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077277832&doi=10.7150%2fthno.37187&partnerID=40&md5=7b5dc935fa9e2375c40f7599914924cb","Most deaths (80%) from cervical cancer occur in regions lacking adequate screening infrastructures or ready access to them. In contrast, most developed countries now embrace human papillomavirus (HPV) analyses as standalone screening; this transition threatens to further widen the resource gap. Methods: We describe the development of a DNA-focused digital microholography platform for point-of-care HPV screening, with automated readouts driven by customized deep-learning algorithms. In the presence of high-risk HPV 16 or 18 DNA, microbeads were designed to bind the DNA targets and form microbead dimers. The resulting holographic signature of the microbeads was recorded and analyzed. Results: The HPV DNA assay showed excellent sensitivity (down to a single cell) and specificity (100% concordance) in detecting HPV 16 and 18 DNA from cell lines. Our deep learning approach was 120-folder faster than the traditional reconstruction method and completed the analysis in < 2 min using a single CPU. In a blinded clinical study using patient cervical brushings, we successfully benchmarked our platform's performance to an FDA-approved HPV assay. Conclusions: Reliable and decentralized HPV testing will facilitate cataloguing the high-risk HPV landscape in underserved populations, revealing HPV coverage gaps in existing vaccination strategies and informing future iterations. © The author(s). This is an open access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/). See http://ivyspring.com/terms for full terms and conditions.","Article","Final","Scopus"
"Traceable and Authenticated Key Negotiations via Blockchain for Vehicular Communications","2019","Mobile Information Systems","10.1155/2019/5627497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077388178&doi=10.1155%2f2019%2f5627497&partnerID=40&md5=5cbb1a35808ad0ebf5eecdca6494a3cc","While key negotiation schemes, such as those based on Diffie-Hellman, have been the subject of ongoing research, designing an efficient and security scheme remains challenging. In this paper, we propose a novel key negotiation scheme based on blockchain, which can be deployed in blockchain-enabled contexts such as data sharing or facilitating electric transactions between vehicles (e.g., unmanned vehicles). We propose three candidates for flexible selection, namely, key exchanges via transaction currency values through value channels (such as the amount in transactions), automated key exchanges through static scripts,and dynamic scripts, which can not only guarantee key availability with timeliness but also defend against MITM (man-in-the-middle) attacks, packet-dropping attacks, and decryption failure attacks. © 2019 Yuling Chen et al.","Article","Final","Scopus"
"15th International Conference on Security and Privacy in Communication Networks, SecureComm 2019","2019","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076900527&partnerID=40&md5=389901cadcbe66f7c0cb044acdf510c6","The proceedings contain 29 papers. The special focus in this conference is on Security and Privacy in Communication Networks. The topics include: Online Cyber Deception System Using Partially Observable Monte-Carlo Planning Framework; SEVGuard: Protecting User Mode Applications Using Secure Encrypted Virtualization; a Behavior-Aware Profiling of Smart Contracts; a Performance-Optimization Method for Reusable Fuzzy Extractor Based on Block Error Distribution of Iris Trait; detecting Root-Level Endpoint Sensor Compromises with Correlated Activity; Footprints: Ensuring Trusted Service Function Chaining in the World of SDN and NFV; hecate: Automated Customization of Program and Communication Features to Reduce Attack Surfaces; phish-Hook: Detecting Phishing Certificates Using Certificate Transparency Logs; IIFA: Modular Inter-app Intent Information Flow Analysis of Android Applications; account Lockouts: Characterizing and Preventing Account Denial-of-Service Attacks; Power Analysis and Protection on SPECK and Its Application in IoT; Adversarial False Data Injection Attack Against Nonlinear AC State Estimation with ANN in Smart Grid; on Effectiveness of Adversarial Examples and Defenses for Malware Classification; privC—A Framework for Efficient Secure Two-Party Computation; coRide: A Privacy-Preserving Collaborative-Ride Hailing Service Using Blockchain-Assisted Vehicular Fog Computing; Non-Interactive MPC with Trusted Hardware Secure Against Residual Function Attacks; a Study of the Multiple Sign-in Feature in Web Applications; Authenticated LSM Trees with Minimal Trust; Modern Family: A Revocable Hybrid Encryption Scheme Based on Attribute-Based Encryption, Symmetric Searchable Encryption and SGX; a Nature-Inspired Framework for Optimal Mining of Attribute-Based Access Control Policies; application Transiency: Towards a Fair Trade of Personal Information for Application Services; customPro: Network Protocol Customization Through Cross-Host Feature Analysis.","Conference review","Final","Scopus"
