"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Investigating encrypted IEEE 802.15.4 and DigiMesh communications for small unmanned systems","2017","AIAA Information Systems-AIAA Infotech at Aerospace, 2017","10.2514/6.2017-0061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085848397&doi=10.2514%2f6.2017-0061&partnerID=40&md5=9ad94438cbb1640362b4c971f1400e1e","The integration of autonomous unmanned aerial vehicles into both civilian and military applications creates a potential risk for cyber-attacks. The wireless communication link used to monitor and control the UAV may be vulnerable to attacks in the absence of encryption. With publicly available information regarding the communications protocol, autopilot, and ground control station software, obtaining the necessary knowledge to perform a malicious cyber-attack can be relatively easy. In the past it has been an uncommon practice to use encryption to secure communication in non-military UAV applications, due to the increased latency. This paper presents an investigation on the increase in latency due to encryption using the Digi 2.4 GHz XBEE-PRO 802.15.4 and 900MHz XBEE-PRO 900HP DigiMesh which are commonly used for command and control communication in low cost UAVs. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Managing risk around offshore installations using autonomous marine vehicles while conducting exploration activities","2017","Society of Petroleum Engineers - SPE Health, Safety, Security, Environment, and Social Responsibility Conference - North America 2017","10.2118/184412-ms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048181034&doi=10.2118%2f184412-ms&partnerID=40&md5=97e91f5be94ef7f08b908cb1ab55a62f","The use of autonomous marine vehicles (AMVs) to do work in marine environments is a new and novel technology approach that reduces the presence of humans and improves safety withour compromising quality of service delivery. Over the last four years, this technology has grown and matured from a level of skepticism to full maturity. One particular AMV glider harnesses kinetic energy from wave action to produce forward propulsion in an environmentally friendly manner. This glider is a hybrid sea-surface and underwater vehicle that has taken the concept of autonomy beyond that of the autonomous underwater vehicle (AUV). This wave-powered sensor platform enables collection and transmission of data gathered at sea on missions lasting up to a year. It is capable of crossing thousands of kilometers of ocean to gather oceanographic data, as well as maintain a stationary position while taking meteorological readings, or it can circle a rig at a preset distance to provide early warning of security or environmental threats. Once deployed, the glider uses no crew, requires no fuel, and produces no emissions, thus eliminating both risks to personnel and impact on the environment. During a marine seismic survey, the worst possible nightmare is to have any of the seismic survey vessel assets, in particular the streamer spread, collide with the client's installations. This type of collision can occur due to metocean changes and feathering, unpredicted changes in the profile of currents, and the onset of cyclones and hurricanes. Typically, the knowledge of currents around platforms during seismic close pass acquisition (CPA) is provided by acoustic Doppler current profilers (ACDPs) that are bottom mounted on vessels that hold station just outside the 500-m exclusion zone, thus providing real-time currents information to help the seismic fleet navigate. This conventional method is an expensive use of the vessels held on station. Such vessels cost USD10 to 20 thousand per day, and typically these are chase vessels that have been pulled away from their primary duty, which is to chase away unwanted visitors in the area. The AMV provides an alternative; it replaces the vessel and performs the same work more efficiently at a much lower cost. At the same time, the AMV glider lowers HSE risk and reduces the environmental impact. To date, 35 missions have been completed using this technology, which has resulted in an operational savings of 2 to 3 days per month on average through better management of the CPA and line changes. Slowly, operators are accepting this technology as a viable replacement for vessel-mounted ADCPs. © 2017, SPE Health, Safety, Security, Environment, & Social Responsibility Conference - North America.","Conference paper","Final","Scopus"
"Dynamic re-plan of the loyal wingman optimal control problem","2017","AIAA Guidance, Navigation, and Control Conference, 2017","10.2514/6.2017-1744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088204252&doi=10.2514%2f6.2017-1744&partnerID=40&md5=1d4d7b027e08daea44677728f29c1aca","As researchers strive to achieve autonomy in systems, many believe the goal is not that machines should attain full autonomy, but rather to obtain the right level of autonomy for an appropriate man-machine interaction. A common phrase for this interaction is manned-unmanned teaming, a subset of which, for unmanned aerial vehicles, is the concept of the loyal wingman. Previous works established a definition and candidate scenario, demonstrated a methodology, formulated the optimal control problem, and developed dynamic and measurement update models for avoiding moving, stochastic threats. The work herein extends upon previous work by formulating the optimal control problem for a scenario more consistent with manned-unmanned teaming. Additional technical information is provided for appropriately modeling the moving, stochastic threats and a critical distance metric is developed to recommend when the loyal wingman’s optimal path should be updated, using speed and stochastics of the moving threat as well as relative distance and angle of approach of the loyal wingman to the threat. These techniques are demonstrated through simulation for computing the global outer-loop optimal path for a minimum time rendezvous with a manned lead while avoiding static as well as moving, non-deterministic threats, then updating the global outer-loop optimal path based on changes in the threat mission environment. Results demonstrate a methodology for rapidly computing an optimal solution to the loyal wingman optimal control problem. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Mutualism and Labourism in the Experience of Westfund","2017","Labour History","10.3828/labourhistory.112.0061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172360012&doi=10.3828%2flabourhistory.112.0061&partnerID=40&md5=7e26c166b5fdda356179024abc5dffb4","This paper explores the dynamic by which“labourism” potentially undermines “mutualism” by examining the experience of Westfund under Australian Labour Party governments. The principle of self-help and the act of organising to provide mutual beneÀts have strong traditions in the labour movement. Westfund was a health fund established in 1953 by the Western District Branch of the Miners' Federation in Lithgow New South Wales, largely to provide medical beneÀts to miners․ Organised labour historically has also campaigned for state provision of welfare services. In Australia, the notion of “Labourism” refers to a particular approach adopted by organised labour whereby they represented their interests directly in the political sphere through the Australian Labor Party. When the labour movement achieved its aim of a more universal health care system under the Whitlam ALP government, Westfund chose to work within the system in order to survive. Mutualism and labourism co-existed. The subsequent introduction of Medicare by the Hawke ALP government brought changes which created a more threatening business environment for health funds. In this instance to mitigate the danger it posed to their business, Westfund chose to oppose more aggressively aspects of the universal health system. Westfund weakened its institutional ties to the labour movement, and became more autonomous from its roots as a mutual. © 2017 Australian Society for the Study of Labour History.","Article","Final","Scopus"
"Procedures and mechatronic device for the preparation of chemical contaminated samples „on site”","2017","International Journal of Mechatronics and Applied Mechanics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044986602&partnerID=40&md5=0f403173a829468757b86d0c75276ff1","This paper presents the realization and testing of an automatic system prototype, with civil and military applications in the fields of security and defence, which can be used on site for testing potentially chemically contaminated samples. This equipment is designed under the principles of an integrated mechatronic device and is particularly useful for the intervention teams that have to respond to chemical and ecological incidents (accidents or terrorist attacks), as well as to the decision factors because it provides them, in a very short time, the necessary information to take urgent and informed action for the neutralization of the local factors generating the crisis (chemical war agents, toxic industrial compounds, explosives, drugs, etc.), for the protection of the personnel and the environment, for choosing the appropriate decontamination means and medical treatment. [1,2,3,4]. Taking into account the fact that in this type of interventions ‘time’ is very important, this system is necessary. The mechatronic equipment has been designed to process, in a short time, all kinds of samples (solid, liquid, gases or complex substances’ amalgams), integrating a number of preparation techniques: SPE (Solid Phase Extraction), SPME (Solid Phase Microextraction), Head Space, adsorption on TENAX adsorbent resin tubes etc. for the sample preparation on the spot. As a result, time and resource consuming activities are spared: sample collection, packing and labelling, transport to a specialized lab, classical testing in the lab. [5] From a scientific point of view, the use of SPE, SPME, Head Space techniques in the collection and processing of samples for the identification of organic pollutants does not represent an innovation, being successfully used for over 20 years. The innovation factor is brought by the utilization of this techniques for the collection and processing of samples contaminated with highly dangerous compounds from CWAs (chemical warfare agents) class in field situations, in an automatic manner. From a technological point of view, the main innovation is comprised of the integration of these separate techniques in an unitary mechatronic system which would comprise, besides extraction cartridges with different adsorbents, a collection system with an automatic pump, electronical control gadgets, sample heating gadget, time measuring gadget. Our mechatronic equipment comes in handy in the detection and identification of interest compounds, because the existent detection equipment can only identify substances in gas form, leaving the risk of not detecting the dangerous substances with low volatility. [6] Also, in the case of instrumental mechatronic techniques of analysis and identification of the compounds of interest the previous collection of samples is necessary in order to bring them in a state compatible with the analytic instrument, laborious process, that takes a lot of time and reagents in the case ‘’classical methods of process in lab”. © 2017, Cefin Publishing House. All rights reserved.","Article","Final","Scopus"
"The ""general tobacco business"". How Genoa tried to exploit for fiscal purposes one of the greatest processes of globalization of trade between the 16th and 17th centuries; [L’«impresa generale del tabacco». Come genova provÒ a sfruttare a fini fiscali uno dei massimi processi di mondializzazione degli scambi tra xvii e xvii secolo]","2017","Nuova Rivista Storica","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091945645&partnerID=40&md5=15c34733f5fc4c0022efdde56c1d3a18","The Libyan uprising of 2011 was announced by some warning signs that are rooted in its history, a history that stretches along its internal borders, not only geographical, but also social, economic and cultural, which have marked its development since the early years of the last century. Starting from this assumption, the article aims to provide an interpretation of the current situation in the light of a complex and peculiar evolutionary path that has made Libya a very different country from other states in the Mediterranean and Middle East area. The analysis is carried on, therefore, through the Libyan history, since the Ottoman Empire’s final age up to the riots of 2011, using as an element exegetical the regional and tribal fractures, which are rooted in the past but re-emerged with renewed vigor after the death of Gaddafi, becoming one of the central issues in the debate about a possible future structure of the country. The work is finalized to demonstrate how the Jamahiriya is unlikely to rise again as a unitary State because of the presence of the tribes and other local actors committed to creating autonomous entities “sectarian”, based on territorial claims or on the exploitation of economic resources and allowing to foreign entities to play a role in the political and economic situation of Libya. keywords Libyan Tribes, Cyrenaica and Tripolitania, Jamahiriya. © 2017, Societa Editrice Dante Alighieri. All rights reserved.","Article","Final","Scopus"
"Security of cyber-physical systems in the presence of transient sensor faults","2017","ACM Transactions on Cyber-Physical Systems","10.1145/3064809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071483569&doi=10.1145%2f3064809&partnerID=40&md5=8f9c5597c71202ce518e512ab1e3aba0","This article is concerned with the security of modern Cyber-Physical Systems in the presence of transient sensor faults.We consider a system with multiple sensors measuring the same physical variable, where each sensor provides an interval with all possible values of the true state.We note that some sensors might output faulty readings and others may be controlled by a malicious attacker. Differing from previous works, in this article, we aim to distinguish between faults and attacks and develop an attack detection algorithm for the latter only. To do this, we note that there are two kinds of faults-transient and permanent; the former are benign and short-lived, whereas the latter may have dangerous consequences on system performance. We argue that sensors have an underlying transient fault model that quantifies the amount of time in which transient faults can occur. In addition, we provide a framework for developing such a model if it is not provided by manufacturers. Attacks can manifest as either transient or permanent faults depending on the attacker's goal.We provide different techniques for handling each kind. For the former, we analyze the worst-case performance of sensor fusion over time given each sensor's transient fault model and develop a filtered fusion interval that is guaranteed to contain the true value and is bounded in size. To deal with attacks that do not comply with sensors' transient fault models, we propose a sound attack detection algorithm based on pairwise inconsistencies between sensor measurements. Finally, we provide a real-data case study on an unmanned ground vehicle to evaluate the various aspects of this article. © 2017 ACM.","Article","Final","Scopus"
"Flight results from a small UAS distributed flush airdata system","2017","9th AIAA Atmospheric and Space Environments Conference, 2017","10.2514/6.2017-4476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085405917&doi=10.2514%2f6.2017-4476&partnerID=40&md5=cdb93515e64f6474a1ceb59f0704ecdb","Previous work has demonstrated the effectiveness of a distributed ush airdata system (FADS) on the Eagle Owl small UAS through wind tunnel testing. The distributed FADS has since been adapted for use with the X-8 Skywalker UAS, and was own on March 22, 2017. An in-ight calibration was performed using an Aeroprobe Corporation 5-hole multi-hole probe (MHP) as the reference instrument. A neural network was trained on the MHP calibration ight data, which produced estimates of the angle of attack and sideslip from static pressure measurements made across the surface of the aircraft. The airspeed was measured from the dynamic pressure between stagnation and static ports on the fuselage. During a validation ight, mean errors between the distributed FADS and MHP were 0.12 m/s for indicated airspeed, 0:01° for angle of attack, and 0:10° for angle of sideslip. Additionally, 97.9% of the FADS indicated airspeed measurements were within -1 m/s of the MHP measurements, while 87.6% and 75.4% of the angles of attack and sideslip, respectively, were within ±1° of the MHP. Results show that a distributed FADS can be calibrated in ight, and is a viable option for performing relative wind sensing from small UAS. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Predicting scene parsing and motion dynamics in the future","2017","Advances in Neural Information Processing Systems","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047019919&partnerID=40&md5=8cd9fe41883720e46d297a01cfdf5bd7","The ability of predicting the future is important for intelligent systems, e.g. autonomous vehicles and robots to plan early and make decisions accordingly. Future scene parsing and optical flow estimation are two key tasks that help agents better understand their environments as the former provides dense semantic information, i.e. what objects will be present and where they will appear, while the latter provides dense motion information, i.e. how the objects will move. In this paper, we propose a novel model to simultaneously predict scene parsing and optical flow in unobserved future video frames. To our best knowledge, this is the first attempt in jointly predicting scene parsing and motion dynamics. In particular, scene parsing enables structured motion prediction by decomposing optical flow into different groups while optical flow estimation brings reliable pixel-wise correspondence to scene parsing. By exploiting this mutually beneficial relationship, our model shows significantly better parsing and motion prediction results when compared to well-established baselines and individual prediction models on the large-scale Cityscapes dataset. In addition, we also demonstrate that our model can be used to predict the steering angle of the vehicles, which further verifies the ability of our model to learn latent representations of scene dynamics. © 2017 Neural information processing systems foundation. All rights reserved.","Conference paper","Final","Scopus"
"Morphing Technology for Advanced Future Commercial Aircrafts","2017","Morphing Wing Technologies: Large Commercial Aircraft and Civil Helicopters","10.1016/B978-0-08-100964-2.00019-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141039677&doi=10.1016%2fB978-0-08-100964-2.00019-8&partnerID=40&md5=4a7de5a10eacbdc0072febf72262913f","The main challenge of morphing wings is to design a system that is able to withstand the applied loads while being capable of adapting its shape. A multidisciplinary approach is necessary for merging properly with integrated structural actuation systems, starting from the early design development, then increasing the overall configuration complexity from the preliminary stages. There is a multiplicity of alternatives to the benchmark configuration. Structural morphing rose to prominence recently due to increasing demand for satellite and unmanned aerial vehicle performance, spurring many studies on the topic. Design implications aside, morphing wings give rise to a number of new manufacture, assembly, and verification challenges for structural systems. The number of components drastically increases as traditional frozen architectures are supplanted by kinematic chains or compliant systems. The increased number of parts comprising the mechanical system results in an increased number of difficulties, as well as an attendant increase in the required manufacturing effort and design attention devoted to tolerances and assembly. As a result, manufacture and design scientists are expected to cooperate even more than normal due to the massive growth in schematic complexity. Furthermore, because the structure is movable, special assembly rigs must be designed to preserve the kinematic possibilities and avoid local and permanent deformations. Specialized tools must be created to execute certain specific operations on these newly-complicated components. In this chapter, significant examples of the manufacture process of morphing wing components are illustrated. Specifically, attention is focused on technological projects such as the one in which Aernnova used their own background to develop innovations in the development of adaptive modules. Under the European Union's Seventh Programme project SARISTU, this approach permitted the creation of a full-scale wing section for operative wind tunnel tests. In 3AS and CURVED projects, Aernnova focused on developing structured materials with innovative characteristics suitable for integration in morphing constituents. These experiences have been exploited in the assessment of a breakthrough adaptive rudder. © 2018 Elsevier Ltd. All rights reserved.","Book chapter","Final","Scopus"
"Performance improvement of small UAVs through energy-harvesting within atmospheric gusts","2017","AIAA Atmospheric Flight Mechanics Conference, 2017","10.2514/6.2017-1630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085405879&doi=10.2514%2f6.2017-1630&partnerID=40&md5=0a76ae2993175025dd851c15ed5a6832","Fixed-wing mini aerial vehicles usually fly at low altitudes often exposed to turbulent environments. Gust soaring is a flight technique of energy harvesting in such a complex and stochastic domain. Presented work shows the feasibility and benefits of exploiting non-stationary environment for a small UAV. Longitudinal dynamics trajectory is derived showing significant benefits in extended flight with sinusoidal wind profile. Optimization strategy for active control has been performed with the aim of obtaining most effective set of gains for energy retrieval. Moreover, three-dimensional multi-point model confirmed feasibility of energy harvesting in a more complex spatial wind field. Influence of unsteady aerodynamics is determined on overall energy gain along the flight path with active proportional control. Most contributing aerodynamic parameters are identified and suggested as basic objective function of an UAV design for energy harvesting in gusty environment. In addition, passive approach of control related to structural dynamics is investigated, pointing out its potential and possible improvements with aero-elastic tailoring. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
