"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Early detection as a tool to bridge prevention and response barriers for oil spills","2018","Society of Petroleum Engineers - SPE International Conference and Exhibition on Health, Safety, Security, Environment, and Social Responsibility 2018","10.2118/190632-ms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088068748&doi=10.2118%2f190632-ms&partnerID=40&md5=5d29818075ffb44afe2fffed46121617","Minimizing the footprint of marine operations in the O&G sector is of uttermost importance to ensure business sustainability. Oil spills due to a number of activities and hazards are one of the major concerns offshore. Risk assessments must carefully cover all possible control and recovery barriers and the appropriate response resources must be kept on guard against any event. The likelihood, consequences and vulnerability of the affected area shape the risk in any possible oil spill. Spillage rate and time of release depicture to a great extent the consequences of the spill, thus an early detection is crucial to minimize impact as well as to help reduce reaction time and resources scale for the responders. An early detection tool was satisfactorily put in place either in offshore production rig and maritime terminal, with specific capabilities for automated (unmanned) detection, 24/7 recording, remote surveillance, alarm logging and very low threshold detection level in adverse weather conditions. This means a digital transformation in the surveillance of marine operations allowing the exploitation of data to get the information needed to improve Safety in operations. With a threefold approach for innovative environmental protection, asset risk/integrity assessment and transparency culture promotion, a detection system was co-developed by operator and vendor to meet assets and operations needs and produce a tailor-made product. Such a novel system combines wide-coverage radars together with high-precision infrared cameras commanded and integrated by intelligent algorithms. Lessons learnt out of event reporting from this tool will be shared to help reinforce the link between prevention and response policies and protocols. Key tactical information for quick response, resources optimization, routine/critical operations monitoring, and real-time data sharing either internally or with third parties is yielded out of the System (HEADS) as a new input for a holistic and proactive approach towards asset protection. © 2018 Society of Petroleum Engineers. All rights reserved.","Conference paper","Final","Scopus"
"Part II: Winglet design and optimization for a low-speed subsonic uav wing","2018","AIAA Aerospace Sciences Meeting, 2018","10.2514/6.2017-0268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141612389&doi=10.2514%2f6.2017-0268&partnerID=40&md5=11dbff7d263c9e3362087cbe9220aea0","This paper employs surrogate modeling based shape optimization of a winglet for low speed UAV wing. Design space is determined by uncertainty analysis of design variables conducted in Part-I of this research. In this part, Box-Behnken Design of Experiments is done to analyze sample winglets uniformly spread over the design space. CFD analysis of all winglets was carried out using commercially available CFD software. Results of CFD analyses were used to generate three surrogate models based on polynomial fitting, single layered Artificial Neural Network and Multi-layered Artificial Neural Network. Detailed MANOVA was carried out to compare surrogate models from these three techniques. Subsequently all three models were subjected to Genetic Algorithm based optimization to search optima in the design space. Finally, all optimized winglets were again modeled and analyzed through CFD for their comparative analysis. It was observed that for models based on small number of data points, two layered ANN over fitted the model whereas single layered ANN was a better choice. Optimized winglet increased the lift to drag ratio by 14% and a drag reduction of 8% was achieved. © 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Feasibility Study For In-Vehicle Detection of Severe Cardiac Events","2018","International Journal of Automotive Engineering","10.20485/jsaeijae.9.4_316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135522969&doi=10.20485%2fjsaeijae.9.4_316&partnerID=40&md5=0888ca48e3e90b4b5a07cc396ad094a1","Cardiovascular diseases are highly prevalent and fatal medical conditions cause many adult deaths annually. The occurrence of a debilitating cardiac condition while driving could suddenly render a driver unable to safely operate a vehicle, including bringing a vehicle to a stop in order to request medical assistance. Currently, many people are at risk of suffering from conditions such as a heart attack or arrhythmia. We conduct a feasibility study to determine the practicality of developing an in-vehicle severe cardiac event detection system, integrated with a driver monitoring system, to detect or predict these events. We provide background information related to the primary diagnostic criteria and evaluation of the Electrocardiogram (ECG). A preliminary noise analysis is conducted to compare the ECG noise of in-vehicle and in-lab signals. Ultimately, we determine that developing a driver monitoring system capable of determining the driver’s cardiac health is completely feasible © 2018. Society of Automotive Engineers of Japan, Inc. This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license","Article","Final","Scopus"
"Effects of leading edge enlargement on the primary vortex of blunt-edged delta wing VFE-2 profile","2018","Acta Polytechnica Hungarica","10.12700/APH.15.8.2018.8.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065032256&doi=10.12700%2fAPH.15.8.2018.8.1&partnerID=40&md5=7824ae8be0c34077c55496b71107c8db","                             This paper presents the results obtained from wind tunnel experiments on VFE-2 wing profile model which are differentiated by their leading edge profiles; medium-and large-edged. VFE-2 was established to investigate the effects of Reynolds number, angle of attack, Mach number and leading edge bluntness on vortex properties above-blunt-edged delta wing. The original VFE-2 wing has 4 sets of interchangeable leading edge profile namely sharp, small, medium and large-edge ratio. There were lot of experiments and simulations data in VFE that compares sharp-edged with the medium-edged wings within the VFE campaign. This paper presents the current data on a blunter wing or large-edged wing. These experiments were conducted at UTM-Low Speed Wind Tunnel, Aerolab. The experiments were carried out at speed of 18, 36 and 54 m/s representing Reynolds numbers of 1×10                             6                             , 2×10                             6                              & 3×10                             6                             . Two measurement techniques were employed on the wing, i.e. steady balance and surface pressure measurements. The results obtained from the large-edged wing were compared with the results from medium-edge wing. The results showed that the primary vortex depends on the leading edge bluntness, angle of attack and Reynolds number. The results obtained from steady balance data showed that lift coefficient is sensitive to leading edge bluntness at higher Reynolds numbers. Several important observations were noted on the large-edged wing; i.e. the development of primary vortex has been delayed and the vortex breakdown occurred further aft of the wing. The data obtained provide a better insight into the leading edge effect on the delta-shaped wing and also for the development of Unmanned Combat Air Vehicle (UCAV) which most of them are integrated with delta wing technology.                          © 2018, Budapest Tech Polytechnical Institution. All rights reserved.","Article","Final","Scopus"
"Model aided estimation of angle of attack, sideslip angle, and 3D wind without flow angle measurements","2018","AIAA Guidance, Navigation, and Control Conference, 2018","10.2514/6.2018-1844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141572460&doi=10.2514%2f6.2018-1844&partnerID=40&md5=d3ec80c4ce57660529df241f0f6430c6","Accurate estimations of the relative movement of the aircraft with respect to the surrounding air are critical to flight performance and aircraft safety. This paper proposes two novel aircraft-model-aided extended Kalman filters (EKFs), a 2-state EKF and a 9-state EKF. The proposed filters can estimate angle of attack, sideslip angle, and 3D wind without using direct flow angle measurements such as a multi-hole pitot-tube or mechanical vanes. Both simulation and small unmanned aerial vehicle (UAV) flight test data are used to validate the methods. Experimental results show that the 2-state EKF can estimate angle of attack (AOA) and angle of sideslip (AOS) with around 2 degrees root mean square errors under aggressive maneuvers compared with a high-fidelity 5-hole pitot tube. The 9-state EKF can estimate 3D wind velocities with comparable mean values as a sonic wind anemometer from a ground weather station. © 2018 by the American Institute of Aeronautics and Astronautics, Inc.","Conference paper","Final","Scopus"
"Lessons learnt from cross comparing city applications","2018","Implementing Automated Road Transport Systems in Urban Settings","10.1016/B978-0-12-812993-7.00004-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081384508&doi=10.1016%2fB978-0-12-812993-7.00004-8&partnerID=40&md5=1b93fb8a213a186a62cc4400a85f0c3d","The impacts of the ARTS are reported in this chapter, in terms of user behaviour around ARTS, transport demand changes, ARTS user acceptance and evaluation of the socio-economic impacts. According to the user behaviour around ARTS, the infrastructure is more important for VRU than expected. Painting the vehicle path on the street identifying clearly the crossings changes the perception of safety and priority, and at the same time, people get easily used to the new technology and have even started exploiting its safety. Overall, the system design will need to take care of these aspects to be fully functional. The results concerning the transport demand changes-assessed via stated preference (SP) survey in the demonstration cities to compare ARTS with conventional minibus both ex ante and ex post-show that users’ relative preference for the ARTS or the conventional minibus is case-specific, with the ARTS being relatively more preferred than the minibus in the application cases within a major facility, and that when an extra fare is applied to the ARTS service, the share of users who prefer the ARTS is significantly reduced in all cities. The user acceptance and the socio-economic evaluation show a high level of user satisfaction with the ARTS, mainly for comfort, information availability and safety, whereas security was not perceived as very good (due to the absence of a driver on board). © 2018 Elsevier Inc. All rights reserved.","Book chapter","Final","Scopus"
"Fast and Power-Efficient Embedded Software Implementation of Digital Image Stabilization for Low-Cost Autonomous Boats","2018","Springer Proceedings in Advanced Robotics","10.1007/978-3-319-67361-5_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107038395&doi=10.1007%2f978-3-319-67361-5_9&partnerID=40&md5=961928f1e1091a14a779d08a335060ed","The use of autonomous surface vehicles (ASVs) is an efficient alternative to the traditional manual or static sensor network sampling for large-scale monitoring of marine and aquatic environments. However, navigating natural and narrow waterways is challenging for low-cost ASVs due to possible obstacles and limited precision global positioning system (GPS) data. Visual information coming from a camera can be used for collision avoidance, and digital image stabilization is a fundamental step for achieving this capability. This work presents an implementation of an image stabilization algorithm for a heterogeneous low-power board (i.e., NVIDIA Jetson TX1). In particular, the paper shows how such an embedded vision application has been configured to best exploit the CPU and the GPU processing elements of the board in order to obtain both computation performance and energy efficiency. We present qualitative and quantitative experiments carried out on two different environments for embedded vision software development (i.e., OpenCV and OpenVX), using real data to find a suitable solution and to demonstrate its effectiveness. The data used in this study is publicly available. © 2018, Springer International Publishing AG.","Book chapter","Final","Scopus"
"Joint Optimization of Cache Allocation and Content Placement in Urban Vehicular Networks","2018","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOCOM.2018.8647913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063461712&doi=10.1109%2fGLOCOM.2018.8647913&partnerID=40&md5=f576d7382497b03119f773ad017cf690","Distributing popular contents, e.g., high precision digital maps and latest road conditions, through roadside units (RSUs) is a promising way to provide better driving safety and support for autonomous driving. Successful content download probability can be improved by allocating cache to RSUs and caching popular contents therein. In this paper, we consider a joint cache allocation and content placement problem in vehicular networks to maximize the overall successful content download probability, exploiting the moving information of vehicles. We first prove that the original problem is NP-hard, and then propose a low-complexity approximate algorithm which performs within a bounded gap (a multiplicity factor of 1-1/ e) to the optimum. The expression of the cache size allocated to each RSU is derived for the proposed algorithm when the content popularity obeys Zipf distribution. Extensive numerical experiments show that, the proposed strategy can significantly increase the successful content download probability as compared to existing solutions. © 2018 IEEE.","Conference paper","Final","Scopus"
"Classification of Small UAVs Based on Auxiliary Classifier Wasserstein GANs","2018","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOCOM.2018.8647973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063520735&doi=10.1109%2fGLOCOM.2018.8647973&partnerID=40&md5=21b3204417420ee7012ebb9ddd20b709","Beyond their benign uses, the small Unmanned Aerial Vehicles (UAVs) are expected to take the major role in future smart cities that have attracted the attention of the public and authorities. Therefore, detecting, tracking and classifying the type of UAVs is important for surveillance and air traffic management applications. Existing UAVs detection works focus on radars, visual detection, and acoustic sensors. However, the work was done by applying Support Vector Machine (SVM), k-Nearest Neighbor (KNN) based methods to classify the UAVs need a large number of samples for feature extraction to train a model. In this paper, we propose a new small UAVs classification system using Auxiliary Classifier Wasserstein Generative Adversarial Networks (AC-WGANs) based on the wireless signals collected from the UAVs of various types. Before the classification, using the Universal Software Radio Peripheral (USRP), oscilloscope and antenna to collect the wireless signals, preprocessing and dimensionality reduction to represent information at a lower dimension space. The processed data from UAVs is input to the UAVs' discriminant model of the AC-WGANs for classification. The obtained results show the effectiveness of the proposed system, which can achieve a recognition accuracy of around 95% in the indoor environment and can also be suitable in the outdoor environment. © 2018 IEEE.","Conference paper","Final","Scopus"
"Adapting to concept drift in credit card transaction data streams using contextual bandits and decision trees","2018","Proceedings of the 30th Innovative Applications of Artificial Intelligence Conference, IAAI 2018","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102208578&partnerID=40&md5=cf51a149b4a2455f5cbbaddb48bb5638","Credit card transactions predicted to be fraudulent by automated detection systems are typically handed over to human experts for verification. To limit costs, it is standard practice to select only the most suspicious transactions for investigation. We claim that a trade-off between exploration and exploitation is imperative to enable adaptation to changes in behavior (concept drift). Exploration consists of the selection and investigation of transactions with the purpose of improving predictive models, and exploitation consists of investigating transactions detected to be suspicious. Modeling the detection of fraudulent transactions as rewarding, we use an incremental Regression Tree learner to create clusters of transactions with similar expected rewards. This enables the use of a Contextual Multi-Armed Bandit (CMAB) algorithm to provide the exploration/exploitation trade-off. We introduce a novel variant of a CMAB algorithm that makes use of the structure of this tree, and use Semi-Supervised Learning to grow the tree using unlabeled data. The approach is evaluated on a real dataset and data generated by a simulator that adds concept drift by adapting the behavior of fraudsters to avoid detection. It outperforms frequently used offline models in terms of cumulative rewards, in particular in the presence of concept drift. © 2018 Proceedings of the 30th Innovative Applications of Artificial Intelligence Conference, IAAI 2018. All rights reserved.","Conference paper","Final","Scopus"
"Foresight: Remote Sensing for Autonomous Vehicles Using a Small Unmanned Aerial Vehicle","2018","Springer Proceedings in Advanced Robotics","10.1007/978-3-319-67361-5_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107074659&doi=10.1007%2f978-3-319-67361-5_38&partnerID=40&md5=c6dd6236d7b7515675e51c1b4f33ce35","A large number of traffic accidents, especially those involving vulnerable road users such as pedestrians and cyclists, are due to blind spots for the driver, for example when a vehicle takes a turn with poor visibility or when a pedestrian crosses from behind a parked vehicle. In these accidents, the consequences for the vulnerable road users are dramatic. Autonomous cars have the potential to drastically reduce traffic accidents thanks to high-performance sensing and reasoning. However, their perception capabilities are still limited to the field of view of their sensors. We propose to extend the perception capabilities of a vehicle, autonomous or human-driven, with a small Unmanned Aerial Vehicle (UAV) capable of taking off from the car, flying around corners to gather additional data from blind spots and landing back on the car after a mission. We present a holistic framework to detect blind spots in the map that is built by the car, plan an informative path for the drone, and detect potential threats occluded to the car. We have tested our approach with an autonomous car equipped with a drone. © 2018, Springer International Publishing AG.","Book chapter","Final","Scopus"
"Contribution to drone detection by exploiting parameter estimation for a prototype mm-wave radar system","2018","WSA 2018 - 22nd International ITG Workshop on Smart Antennas","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081589669&partnerID=40&md5=fa255759863f850eb84c39d254144dca","An estimator to infer parameters from radar measurements is presented, applicable for further detection and localisation of unmanned aircraft systems. The problem of parameter estimation is presented as an inverse problem, necessitating a model of the measurement data. Based on the data model, a maximum-likelihood based objective function is derived. The objective function is minimised by a framework similar to the RIMAX framework, including joint parameter and model order estimation. A SIMO radar system is presented and employed to test and demonstrate the estimators capability in simulations as well as test measurements with flying UASs. © 2018 VDE VERLAG GMBH ∙ Berlin ∙ Offenbach","Conference paper","Final","Scopus"
"A Novel IoT-Based Architecture for Self-Adaptive Aerodynamic Flow Control System for Motorcycle","2018","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOCOM.2018.8648012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063515391&doi=10.1109%2fGLOCOM.2018.8648012&partnerID=40&md5=bf1e082ee97dc7bb0a8f0547362cf34d","In this paper, we introduce an autonomous system for aerodynamic flow control for motorcycle based on the Internet of Things (IoT) paradigm. The architecture we propose adapts dynamically the flows at the traveling conditions, in order to obtain an improvement of performance and vehicle stability. In our architecture, we deploy a group of sensors on the top surface of the wings to sense the air pressure. We design a centralized on-board unit that computes a new wing angle of attack according to the data received from the sensors. The on-board unit includes a local information database which represents its knowledge: it stores both the data gathered by the sensors and the fluid dynamics model used to compute and adjust the angle of attack. The on-board database is periodically updated transmitting all the measurements gathered from the sensors to a High-Performance Cloud Data Center (DC) which executes a parallel version of Computational Fluid Dynamics (CDF) algorithms, computes the updated model, and transmits the processed information back to the on-board unit. We perform preliminary tests in the wind tunnel, and we show how the cooperation between IoT devices and DC can reduce the on-board unit computational effort. © 2018 IEEE.","Conference paper","Final","Scopus"
