title,abstract,URLs,venue,date
Hybrid Optimal Control for Malware Propagation in UAV-WSN System: A Stacking Ensemble Learning Control Algorithm,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195373654&origin=inward,IEEE Internet of Things Journal,2024-01-01
Enhanced Privacy Preservation and Data Storage in Blockchain-Based Electric Vehicle Network,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196356618&origin=inward,Procedia Computer Science,2024-01-01
Event-triggered Output Feedback Model Predictive Control for Path Following of Autonomous vehicles under False Data Injection Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196074230&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
OptiCloak: Blinding Vision-Based Autonomous Driving Systems Through Adversarial Optical Projection,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194046673&origin=inward,IEEE Internet of Things Journal,2024-01-01
An Automated Threat Intelligence Framework for Vehicle-Road Cooperation Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192999647&origin=inward,IEEE Internet of Things Journal,2024-01-01
SR-Adv: Salient Region Adversarial Attacks on 3D Point Clouds for Autonomous Driving,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195372366&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Securing Autonomous Vehicles Visual Perception: Adversarial Patch Attack and Defense Schemes With Experimetal Validations,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194048754&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
Multi-AUV Collaboration-Assisted Location Privacy Protection Scheme in Unknown Marine Environments,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192987185&origin=inward,IEEE Internet of Things Journal,2024-01-01
Model-free Adaptive Iterative Learning Heading Control for Unmanned Surface Vehicles with Quantized Information,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002450751&origin=inward,IET Conference Proceedings,2024-01-01
Causal Robust Trajectory Prediction Against Adversarial Attacks for Autonomous Vehicles,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002089884&origin=inward,IEEE Internet of Things Journal,2024-01-01
DDPG-based Deep Reinforcement Learning Tactics for Defending Torpedo Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001163502&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
AGENTPOISON: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000487665&origin=inward,Advances in Neural Information Processing Systems,2024-01-01
Unelicitable Backdoors in Language Models via Cryptographic Transformer Circuits,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000505656&origin=inward,Advances in Neural Information Processing Systems,2024-01-01
CARES: A Comprehensive Benchmark of Trustworthiness in Medical Vision Language Models,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000493321&origin=inward,Advances in Neural Information Processing Systems,2024-01-01
Certified Adversarial Robustness via Randomized α-Smoothing for Regression Models,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000492297&origin=inward,Advances in Neural Information Processing Systems,2024-01-01
Federated Learning With Meta-Layers Training for Privacy-Preserving in Vehicular Consumer Electronics,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211191017&origin=inward,IEEE Transactions on Consumer Electronics,2024-01-01
A UAV-Assisted Authentication Protocol for Internet of Vehicles,"As a component of the Intelligent Transportation System (ITS), Internet of Vehicles (IoV) is becoming increasingly important in the management and construction of urban transportation as it can provide users with a range of applications related to traffic accident warnings, entertainment information, collaborative driving and real-time road information through communication devices on vehicles. However, with the increasing variety of services in the IoV, the growing demand for user traffic and the advances in Unmanned Aerial Vehicle (UAV) technology, UAV is introduced into the IoV as a solution, which can relieve the pressure on the communication infrastructure in the network, provide emergency communication services and improve the performance of network services. Due to the openness of IoV and the high-speed movement of vehicles, authentication and privacy issues are among the most pressing issues in IoV. Therefore, the paper proposes a secure and effective authentication protocol for UAV-assisted IoV. The protocol utilises elliptic curve cryptography to assure the security of the authentication. The protocol undergoes proof of security, Burrows-Abadi-Needham (BAN) logic analysis and informal security analysis to ensure secure and mutual authentication, and have a good resistance to known attacks. Furthermore, performance analysis and comparison are conducted to evaluate the efficiency of our protocol. The results indicate that our protocol has superior advantages in overhead.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10457572,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Multi-Process Federated Learning With Stacking for Securing 6G-V2X Network Slicing at Cross-Borders,"Being part of the 6G ecosystem vision, Connected and Automated Vehicles (CAVs) will enjoy sophisticated tailored services offering road safety and entertainment for users. As one of the 6G cornerstones, Network Slicing (NS) allows the creation of various customized 6G-V2X (Vehicle-to-Everything) use cases on the same physical infrastructure. However, 6G-NS advances can open up breaches to cyber-attacks aiming to break 6G-V2X Network slices to inflict maximum damage on CAVs and their users. Crossing borders, where CAVs leave their V2X-NS (V2X Network Slice) in the Home Mobile Network Operator (H-MNO) toward a similar V2X-NS in the Visited MNO (V-MNO), is an attractive opportunity to exploit by attackers. Detecting and mitigating attacks, in this case, becomes a priority, confronted by NS requirements and MNOs not ready to share their private data. To this end, this paper proposes a 3GPP-compliant privacy preservation collaborative learning scheme for 6G-NS security, focusing on V2X-NS cross-border areas. Our scheme leverages multi-process Federated Learning (FL) architecture to build efficient V2X-NS security-related models while preserving 6G V2X-NS isolation. In addition, it uses differential privacy-enabled stacking to build up attack detection knowledge at the V2X-NSs and MNOs levels while ensuring privacy preservation. We conducted an experimental study on the 5G-NIDD dataset, which is one of the most realistic publicly available 5G datasets. Our results demonstrate that multi-process FL with stacking can deliver high accuracy while ensuring isolation between 6G-V2X-NSs and privacy preservation between H-MNO and V-MNO.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187006638&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Take Your Pick: Enabling Effective Distributed Learning Within Low-Dimensional Feature Space,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210930507&origin=inward,IEEE Transactions on Neural Networks and Learning Systems,2024-01-01
DTCLMapper: Dual Temporal Consistent Learning for Vectorized HD Map Construction,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210992711&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Barrier-Based Test Synthesis for Safety-Critical Systems Subject to Timed Reach-Avoid Specifications,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210901769&origin=inward,IEEE Transactions on Automatic Control,2024-01-01
Demonstration Data-Driven Parameter Adjustment for Trajectory Planning in Highly Constrained Environments,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209577396&origin=inward,IEEE Robotics and Automation Letters,2024-01-01
"Next Generation Vehicles, Safety, and Cybersecurity—The CMX Framework","Safety, privacy, efficiency and cybersecurity (SPEC) properties are mandatory in vehicular networks. Owing to intrinsic limitations, the V2X framework and related communicating autonomous vehicles are inadequate. We explore the CMX framework (Coordinated Mobility for X = SPEC), Next Generation Vehicles (NGVs), and protocols for safety-critical inter-vehicle communications and agreements that solve problems left open in the V2X framework. Then, we focus on cyberattacks and physical attacks against isolated NGVs and cohorts of NGVs. The cyberphysical security analysis investigates more than 20 attacks and demonstrates that the goal set for CMX is verified. In the presence of attacks, safety is never compromised, possibly at the expense of diminished efficiency.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10287210,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Federated Reinforcement Learning for Intelligent Route Planning in Aerial-Terrestrial Network,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210156803&origin=inward,IEEE Internet of Things Journal,2024-01-01
Overview of Terrain Traversability Evaluation for Autonomous Robots,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210151757&origin=inward,Journal of Field Robotics,2024-01-01
Blockchain-Assisted Lightweight Authenticated Key Agreement Security Framework for Smart Vehicles-Enabled Intelligent Transportation System,"Intelligent Transportation Systems (ITS) supported by smart vehicles have revolutionized modern transportation, offering a wide range of applications and services, such as electronic toll collection, collision avoidance alarms, real-time parking management, and traffic planning. However, the open communication channels among various entities, including smart vehicles, roadside infrastructure, and fleet management systems, introduce security and privacy vulnerabilities. To address these concerns, we propose a novel security framework, named blockchain-assisted lightweight authenticated key agreement security framework for smart vehicles-enabled ITS (BASF-ITS), which ensures data protection both during transit and while stored on cloud servers. BASF-ITS employs a combination of efficient cryptographic primitives, including hash functions, XOR operator, ASCON, elliptic curve cryptography, and physical unclonable functions (PUF), to design authenticated key agreement schemes. The inclusion of PUF significantly enhances the system’s resistance to physical attacks, preventing tampering attempts. To ensure data integrity when stored on the cloud, our framework incorporates blockchain technology. By leveraging the immutability and decentralization of the blockchain, BASF-ITS effectively safeguards data at rest, providing an additional layer of security. We rigorously analyze the security of BASF-ITS and demonstrate its strong resistance against potential security ass aults, making it a robust and reliable solution for smart vehicle-enabled ITS. In a comparative analysis with contemporary competing schemes, BASF-ITS emerges as a promising approach, offering superior functionality traits, enhanced security features, and reduced computation, communication, and storage costs. Furthermore, we present a practical implementation of BASF-ITS using blockchain technology, showcasing the computational time versus the “transactions per block” and the “number of mined blocks”, confirming its efficiency and viability in real-world scenarios. Note to Practitioners—This article is motivated by designing an efficient, lightweight, and anonymous blockchain-enabled authenticated security framework that can fix the security and privacy concerns in insecure environments for ITS applications, such as automated road speed enforcement, collision avoidance alarm systems, and traffic planning and management, etc. Authenticated key agreement schemes are extensively used to secure communications in the ITS environment. However, the existing state-of-the-art schemes are not efficient in terms of performance, are not resilient against potential security attacks, and do not support anonymity, untraceability, and unlinkability. Therefore, we propose the authenticated security framework to secure communication among the participating entities in the ITS environment. It utilizes efficient cryptographic primitives, such as hash function, XOR-operator, ASCON, elliptic curve cryptography, and PUF. It is shown that the proposed framework can be deployed as a robust tool to address the ITS security problems efficiently. Moreover, the proposed framework is lightweight and efficient and can be easily deployed in various ITS applications and other resource-constrained environments. However, the participating entities, such as vehicles and roadside units, must be PUF-enabled to deploy the proposed framework.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189621544&origin=inward,IEEE Transactions on Automation Science and Engineering,2024-01-01
DSE-Based Hardware Trojan Attack for Neural Network Accelerators on FPGAs,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209729473&origin=inward,IEEE Transactions on Neural Networks and Learning Systems,2024-01-01
Unified incremental nonlinear controller for the transition control of a hybrid dual-axis tilting rotor quad-plane,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209725730&origin=inward,IEEE Transactions on Robotics,2024-01-01
Generative AI for Advanced UAV Networking,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209766148&origin=inward,IEEE Network,2024-01-01
FedRSU: Federated Learning for Scene Flow Estimation on Roadside Units,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209360472&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Blockchain and Reinforcement Neural Network for Trusted Cloud-Enabled IoT Network,"The rapid integration of Internet of Things (IoT) services and applications across various sectors is primarily driven by their ability to process real-time data and create intelligent environments through artificial intelligence for service consumers. However, the security and privacy of data have emerged as significant threats to consumers within IoT networks. Issues such as node tampering, phishing attacks, malicious code injection, malware threats, and the potential for Denial of Service (DoS) attacks pose serious risks to the safety and confidentiality of information. To solve this problem, we propose an integrated autonomous IoT network within a cloud architecture, employing Blockchain technology to heighten network security. The primary goal of this approach is to establish a Heterogeneous Autonomous Network (HAN), wherein data is processed and transmitted through cloud architecture. This network is integrated with a Reinforced Neural Network (RNN) called ClouD_RNN, specifically designed to classify the data perceived and collected by sensors. Further, the collected data is continuously monitored by an autonomous network and classified for fault detection and malicious activity. In addition, network security is enhanced by the Blockchain Adaptive Windowing Meta Optimization Protocol (BAW_MOP). Extensive experimental results validate that our proposed approach significantly outperforms state-of-the-art approaches in terms of throughput, accuracy, end-to-end delay, data delivery ratio, network security, and energy efficiency.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10375765,IEEE Transactions on Consumer Electronics,2024-01-01
ReCAP: Protecting Cooperative Adaptive Cruise Control Against Multi-Channel Perception Adversary,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209363860&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Three-Way Decisions With Pythagorean Fuzzy TOPSIS for Internet of Drones,"The node importance evaluation of the Internet of drones, also called unmanned aerial vehicle swarm network, can assist network administrators in implementing security protection for important nodes, slowing down attacks on important nodes and providing support for network enhancement. Complex network is a strong theoretical tool in modeling, analyzing, and identifying the most important drone nodes. Most researchers utilize single attribute of nodes, such as degree, betweenness centrality, and so on, to perform node importance assessment. However, the methods involved either only consider the local features of nodes or only concentrate on the nodes' participation on the shortest path. Aiming at this problem, in this article, we develop a three-way decisions-based Pythagorean fuzzy technique for order preference by similarity to ideal solution (TOPSIS) model. It selects multiple measures of nodes as attributes to assess node importance. In addition, it considers the Pythagorean fuzzy middle ideal solution that is induced by the new proposed Pythagorean fuzzy operator. Simulation results manifest its feasibility in assessing node importance.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10502190,IEEE Transactions on Fuzzy Systems,2024-01-01
Explainable AI for Safe and Trustworthy Autonomous Driving: A Systematic Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207766711&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
"A Comprehensive Survey and Tutorial on Smart Vehicles: Emerging Technologies, Security Issues, and Solutions Using Machine Learning",,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209114913&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
IdentifierIDS: A Practical Voltage-Based Intrusion Detection System for Real In-Vehicle Networks,"As innovative technologies such as autonomous driving, over-the-air technology, and vehicle-to-everything are widely applied to intelligent connected vehicles, people can gain a more convenient and safer driving experience. Although the application of these technologies facilitates our lives, they also bring a series of vulnerable interfaces (such as 5G, Bluetooth, and WiFi), which pose a significant security threat to existing in-vehicle networks. To address these threats, researchers have proposed two mainstream schemes, including message authentication and intrusion detection system (IDS), where the scheme of message authentication needs to occupy the limited bandwidth of controller area network (CAN) bus. Furthermore, most IDSs either cannot locate the sender of the attack, fail to detect aperiodic malicious frames, or require prior knowledge of which CAN identifiers (IDs) belong to which electronic control units (ECUs). To address these weaknesses, we propose a practical voltage-based IDS named IdentifierIDS for real in-vehicle networks. To the best of our knowledge, it is the first scheme to detect intrusions by establishing a voltage fingerprint for each ID without the need for prior knowledge. This allows IdentifierIDS to detect both periodic and aperiodic malicious frames without occupying the limited bandwidth of the CAN bus. As a self-learning IDS, it can adapt to different in-vehicle networks without the need for customization for them. Experiments on three real vehicles demonstrate the robustness of our scheme in different in-vehicle networks.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176343843&origin=inward,IEEE Transactions on Information Forensics and Security,2024-01-01
Evaluation Framework for Electric Vehicle Security Risk Assessment,"Electric Vehicles (EVs) seem promising for future transportation to solve environmental concerns and energy management problems. According to Reuters, global car makers plan to invest over half a billion in more efficient and intelligent EVs and batteries. However, there are several challenges in EV mass production, including cybersecurity. Due to the cyber-physical nature of EVs and charging stations, their security and trustworthiness are ongoing challenges. In this study, we identify gaps in the security profiling of EVs and categorize them into five components: 1) charging station security, 2) information privacy, 3) software security, 4) connected vehicle security, and 5) autonomous driving security. Our study provides a comprehensive analysis of identified vulnerabilities, threats, challenges and attacks for different EV security aspects, along with their possible surface/subsurface and countermeasures. We develop a comprehensive security risk assessment framework by first using EV security profiles and mapping identified vulnerabilities to a well-known threat model, STRIDE. Then, we classify the risk levels associated with each vulnerability by setting ground criteria for the impact and likelihood of the threats. Finally, we validate our risk assessment framework by applying the same criteria to eight real-world EV attack scenarios. As a result, researchers can adapt the proposed risk assessment framework to discover threats and assess their risks in EVs and charging station ecosystems.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171780829&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
High-Sample-Efficient Multiagent Reinforcement Learning for Navigation and Collision Avoidance of UAV Swarms in Multitask Environments,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208751946&origin=inward,IEEE Internet of Things Journal,2024-01-01
A Novel Machine Learning-Based Trust Management Against Multiple Misbehaviors for Connected and Automated Vehicles,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208739628&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
A Balanced Collision Avoidance Algorithm for USVs in Complex Environment: A Deep Reinforcement Learning Approach,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207924827&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
"Securing Connected and Autonomous Vehicles: Analysing Attack Methods, Mitigation Strategies, and the Role of Large Language Models",,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207518073&origin=inward,IET Conference Proceedings,2024-01-01
Exploring Diversity-Based Active Learning for 3D Object Detection in Autonomous Driving,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208260767&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Event-Triggered Adaptive Bipartite Secure Consensus Asymptotic Tracking Control for Nonlinear MASs Subject to DoS Attacks,"This paper proposes an adaptive bipartite secure consensus asymptotic tracking control scheme based on event-triggered strategy for the nonlinear multi-agent systems (MASs) under denial-of-service (DoS) attacks. First, by incorporating the concept of shortest path into the hierarchical algorithm, the bipartite consensus control problem in the presence of unbalanced communication topology is successfully addressed. Further, an anti-attack bipartite control strategy by designing the improved forms of the tracking errors and virtual controllers is proposed under DoS attacks. Then, a modified event-triggered mechanism based on the relative threshold strategy is proposed, which can ensure that the bipartite consensus tracking errors converge to zero asymptotically by utilizing the Barbalat’s Lemma. Under the Lyapunov stability theory, it is guaranteed that the outputs of all agents can reach agreement with an identical magnitude but opposite signs and all the signals of the closed-loop MASs are bounded. Finally, the simulation results on the model of damping pendulums are given to verify the efficiency of the proposed secure controller. Note to Practitioners—In this paper, the adaptive bipartite secure consensus asymptotic tracking control problem is considered for nonlinear MASs subject to DoS attacks, whose models can describe many critical applications, such as bidirectional formation of unmanned vehicles and robots. The research on the secure tracking control problem will be rather complicated yet challenging if the DoS attacks of the communication channels are taken into account in the insecure complex network environment. In addition, the event-triggered mechanism is used to reduce the usage of communication resources, which makes the proposed control scheme more easier to implement and more friendly for control engineers.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10155624,IEEE Transactions on Automation Science and Engineering,2024-01-01
Formation Control for an UAV Team With Environment-Aware Dynamic Constraints,"State-of-the-art literature on constrained multiagent system operations can only deal with constant or at best time-varying constraint requirements. Such constraint formulations cannot respond well to the dynamic environment and presence of external agents outside of the multiagent system. In this work, we consider a formation tracking problem for a group of unmanned aerial vehicles (UAVs) in the presence of a physical attacker. The safety/performance constraint functions are environment-aware and dynamic in nature, whose formulation depends on certain path parameters and presence of the attacker. The dependence on path ensures adaptation to the dynamic operation environment. The dependence on the attacker ensures swift adjustment based on the relative distances between the attacker and agents. UAV desired paths and desired path speeds can also be both path- and attacker-dependent. Composite barrier functions have been proposed to address the constraint requirements. Neural network is used to approximate unknown attacker velocity, where the ideal weight matrix is learned by adaptive laws. Besides, unknown system parameters and external disturbances are estimated by adaptive laws. The proposed formation architecture can ensure formation tracking errors converge exponentially to small neighborhoods near the equilibrium, with all constraint requirements met. At the end a simulation study further illustrates the proposed scheme and demonstrates its efficacy.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10183872,IEEE Transactions on Intelligent Vehicles,2024-01-01
A Secure UAV Cooperative Communication Framework: Prospect Theory Based Approach,"Unmanned Aerial Vehicles (UAVs) have attracted extensive attention from both industry and academia owing to their high mobility, line-of-sight (LoS) characteristics of air-to-ground (A2G) channels, and low cost. However, the broadcast nature of wireless transmission and the LoS characteristics of A2G channels are vulnerable to eavesdropping attacks, which leads to severe security issues. To enhance the security of UAV communication, we propose a framework that multiple UAVs cooperate to resist attacks (MURA). Specifically, we first introduce an efficient incentive scheme based on the coalition game to motivate UAVs to participate in a coalition. By forming a grand coalition, we demonstrate that each individual UAV can maximize its utility. Additionally, we propose a secure UAV communication scheme designed to counter eavesdropping attacks. Two distinct types of scenarios are considered in UAV communication. In a completely rational scenario, in which participants make decisions aiming to maximize their utility, we utilize the Stackelberg game to model the interactions between UAVs and attacker. The existence and uniqueness of the equilibrium solution are proved, and the equilibrium solution is obtained. In the context of an imperfectly rational scenario, we employ the prospect theory (PT) to effectively capture the underlying rationality exhibited by the players. The PT valuations of the players, i.e., UAV and attacker, are deduced in detail. Meanwhile, the convergence of the PT valuations of UAV and attacker is proved. Finally, extensive simulation results show that the proposed scheme can effectively improve the utility of legal UAVs and ensure the security of the UAV networks compared with benchmarks.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186101883&origin=inward,IEEE Transactions on Mobile Computing,2024-01-01
Anti-Watermarking Stealthy Deception Attacks Against Networked Unmanned Surface Vehicles,"This paper investigates the problem of designing stealthy deception attacks against networked unmanned surface vehicles (USVs) equipped with watermarking detection modules. To overcome the limitations of the existing attack methods affected by watermarking technology, an anti-watermarking stealthy deception attack method is proposed, where two auxiliary estimators are designed to indirectly estimate the compromised system state such that the proposed attacks can deteriorate the performance of USVs without being detected by watermarking modules. Compared with the existing results, the proposed method exhibits better stealthiness. To improve the attack performance, an exponential deception signal model with adjustable parameters is designed, and its destructiveness is analyzed under different conditions. A simulation example is given to demonstrate the effectiveness and superiority of the proposed method.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188950558&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Defense and Tolerance Technique Against Attacks and Faults on Leader-Following Multi-USVs,"This study explores the leader-following consensus tracking control issue of multiple unmanned surface vehicles (multi-USVs) in the presence of malicious connectivity-mixed attacks in the cyber layer, and concurrent output channel noises, sensor/actuator faults, and wave-induced disturbances in the physical layer. Sensor/actuator faults are initially modeled with unified incipient and abrupt features. Additionally, connectivity-mixed attacks are depicted using connectivity-paralyzed and connectivity-maintained topologies through nonoverlapping and switching iterations. The standardization and observer design in multi-USVs are incorporated to decouple the augmented dynamics and estimate unknown state, fault, and noise observations, and then a defense and fault-tolerant consensus tracking control approach is designed to accomplish the robustness to disturbances/noises, resilience to attacks, and tolerance to faults, simultaneously. The criteria for achieving leader-following exponential consensus tracking of multi-USVs with cyber-physical threats can be determined based on activation rate and attack frequency indicators. Comparative simulations outline the effectiveness and economy of the proposed defense and tolerance technique against sensor/actuator faults and cyber-attacks on multi-USVs.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10323249,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
