titles	abstract	URL	useful?
Survivability: a hierarchical fuzzy logic layered model for threat management of unmanned ground vehicles	Survivability has always been of interest in the defense of any armored vehicles. There has been many reports and papers on the survivability of U.S. Army ground vehicles. A Survivability severity model can be best described as the analogy to the layers of an onion, in which each layer of onion describes a different severity level and the phase of threat detected and severity to apply countermeasures. The objective of this paper is to suggest an evaluation tool that contains an algorithm and procedure for the reliability of manned and unmanned ground vehicles. A decision-making system is proposing for the theoretical survivability and is calculated from a threat level in the form of severity. A generic framework algorithm, consists of both linear and non-linear vehicle dynamics systems, and is included in this paper, which consists of the Fuzzy approach and various scenarios, based on straight path projection. Further, to increase the level of rigor, a layered fuzzy control system using various vehicle dynamics parameters [1] and a methodology for designing an adaptive hierarchical fuzzy model [2] and to accommodate various system parameters dependencies, are describing in this paper as a part of the survivability model. It is hoped that different users will tailor this evaluation tool and used extensively by various research workers working in different area. Several probabilistic cases were included in this paper and implemented by converting to linguistic fuzzy parameters to evaluate the algorithm. A simulation model is designed using supervisory fuzzy rule set and several simulation studies have been done which illustrate the effectiveness of the given approach. The result is a robust d flexible control system.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050801757&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10643/106430W/Survivability--a-hierarchical-fuzzy-logic-layered-model-for-threat/10.1117/12.2304990.pdf	maybe
Factor analysis in automated face detection: gender, occlusion, eyewear, brightness, contrast, and focus measure	Computer-based facial recognition algorithms exploit the unique characteristics of faces in images. However, in non-cooperative situations these unique characteristics are often disturbed. In this study, we examine the effect of six different factors on face detection in an unconstrained imaging environment: image brightness, image contrast, focus measure, eyewear, gender, and occlusion. The aim of this study is twofold: first, to quantify detection rates of conventional Haar cascade algorithms across these six factors; and second, to propose methods for automatically labeling datasets whose size prohibits manual labeling. First, we manually classify a uniquely challenging dataset comprising 9,688 images of passengers in vehicles acquired from a roadside camera system. Next, we quantify how each of the aforementioned factors affect face detection on this dataset. Of the six factors studied, occlusion had the most significant impact, resulting in a 54% decrease in detection rate between unoccluded and severely occluded faces in our unique dataset. Finally, we provide a methodology for data analytics of large datasets where manual labeling of the whole dataset is not possible.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10652/1065203/Factor-analysis-in-automated-face-detection--gender-occlusion-eyewear/10.1117/12.2311281.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049184118&origin=inward	no
UAV-based LiDAR and gamma probe with real-time data processing and downlink for survey of nuclear disaster locations	One of the greatest dangers for first-responders when approaching a disaster site is their lack of incident-related information. This problem can be overcome by deploying and operating a range of high-performance sensors mounted on an unmanned aerial vehicle (UAV). For an initial survey and subsequently detailed reconnaissance of disaster areas where radiation sources represent a threat for rescue operations, the following specialized equipment can be used: the RIEGL VUX-1UAV laser scanner, a highly sensitive gamma radiation probe provided by CBRN Protection and the RiCOPTER-M UAV. An embedded processing and radio communication system integrated onboard the UAV enables real-time access to georeferenced 3D LiDAR pointclouds and gamma radiation levels. Precise localization of the gamma radiation sources and simulation of corresponding radiation activity patterns is achieved by automatic processing on the ground, taking the up-to-date topography into account. The results are displayed to the person in charge of response forces in an intuitive and user-friendly way on, e.g., a tablet computer in real-time and while the UAV is still in the air. Resolution and precision are continuously increased by a semi-autonomous flight path generation approach. This takes into account real-time radiation measurements in order to fly additional lines over automatically detected locations of specific interest. We present results of extended field tests with live radiation sources to demonstrate real-time data acquisition, processing, and refinement. The system shown represents a highly flexible and possibly life-saving asset for first-responders in time-critical scenarios.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10629/106290C/UAV-based-LiDAR-and-gamma-probe-with-real-time-data/10.1117/12.2304353.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049369660&origin=inward	no
Planning and Control for Collision-Free Cooperative Aerial Transportation		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991069474&origin=inward	no
An architecture for sensor modular autonomy for counter-UAS	This paper discusses a modular system architecture for detection, classification and localisation of Unmanned Aerial System (UAS) targets, consisting of intelligent Autonomous Sensor Modules (ASMs), a High-Level Decision Making Module (HLDMM), a middleware integration layer and an end-user GUI, under the previously-reported SAPIENT framework. This enables plug and play sensor integration and autonomous fusion, including prediction of the trajectory of the vehicle for sensor cueing, multi-modal sensor fusion and target hand-off.<p>  </p> The SAPIENT Counter-UAS (C-UAS) system was successfully demonstrated in a live trial against a range of UAS targets flown in a variety of attack trajectories, using radar and Electro-Optic (EO) C-UAS ASMs. In addition, the trial also demonstrated the use of synthetic sensors, on their own and in combination with real sensors. Outputs of all the available sensors were tracked and fused by the Cubica SAPIENT HLDMM which then steered narrow field-of-view cameras onto the predicted 3D position of the UAS. The operator was provided with a map-based view showing alerts and tracks to provide situational awareness, together with snapshots from the EO sensor and video feeds from the steerable narrow field of view cameras. <p>  </p>This demonstrates an effective C-UAS system operating entirely autonomously, with autonomous detection, localisation, classification, tracking, fusion and sensor management, leading to “eyes on” the aerial threat, and all happening with zero operator intervention and in real-time.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057377098&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10802/108020D/An-architecture-for-sensor-modular-autonomy-for-counter-UAS/10.1117/12.2326802.pdf	no
IntentNet: Learning to Predict Intention from Raw Sensor Data		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098056056&origin=inward	no
Analysis of the transonic flow around a unmanned combat aerial Vehicle configuration		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045187063&origin=inward	yes
Evaluation of side-scan sonar performance for the detection of naval mines	Autonomous Underwater Vehicles (AUVs) equipped with high-resolution side-scan sonars (SSS) are used to carry out preliminary surveys of potentially hazardous areas in order to counter the threat posed by naval mines and reduce risk to personnel. The detection and classification of mine-like objects is conducted offline, after a scan has been completed while the actual identification and neutralization of potential targets is executed in a separate minehunting operation. In this paper the various influences on the imaging sonar system and, moreover, the resulting sonar imagery are assessed with regard to affecting the Probability of Detection and Classification (PDC). Image quality, sharpness and Signal-to-Noise Ratio (SNR) are among the more obvious and straightforwardly quantifiable factors. The complexity of a sonar image, however, can have a significant impact as well. Image lacunarity is used to characterize the seafloor in order to assess the corresponding minehunting difficulty. Additional factors under consideration are the heading angle of the AUV at any given measurement position as well as horizontal spreading and potential overlapping of successive sonic pulses.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057312521&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10794/107940J/Evaluation-of-side-scan-sonar-performance-for-the-detection-of/10.1117/12.2325642.pdf	no
Efficient Surfel-Based SLAM using 3D Laser Range Data in Urban Environments		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088508363&origin=inward	no
Detection of unmanned aerial vehicles (UAV) in urban environments	The detection and tracking of UAV’s is a critical task for public and military security. The main are the low flight height and the small radar cross section (RCS). The problems increase in an urban environment with many high buildings, especially when tall buildings block the line of sight. A new concept of distributed radar sensors was developed to close this gap. To reduce the impact of radar shadows in urban canyons, a surveillance grid of optical and radar sensors is necessary which covers the complete urban environment. The radar sensors build up different security sectors and monitor all access routes for attacking UAVs. Sophisticated cameras which offer night vision capabilities complete the sensor network to reduce the false alarm rate through these regular, declared UAV flights. Cameras allow the integration of a man in the loop which has the final responsibility to define a target as a threat or not. The system supports the operator with a database which based on optical and radar signature of most commercially available UAV’s.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10799/107990R/Detection-of-unmanned-aerial-vehicles-UAV-in-urban-environments/10.1117/12.2325637.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079283693&origin=inward	no
A graph-theoretic understanding of network-wide implications of local cyber protections for mission assurance	Modern Department of Defense mission systems are very complex and therefore arduous to defend, especially in the cyber domain. A major cause for this concern arises from the fact that implementation of security protections occur at a local scale, while the important operational security issues stem from a global perspective of the system, e.g., mission assurance. Being able to understand network-wide implications of local cyber protections has the potential to significantly impact the strategies we use to protect modern mission systems. In this work, we present a graph-theoretic perspective on this problem, which is based on a framework for modeling and assessing the integrated cyber-physical dynamics of complex systems. Under the framework, these dynamics (and their relationships) are modeled as a graph and then analyzed using processing techniques from graphtheory. We demonstrate the utility of this framework by conducting insider-attack threat analysis and show how the application of security protections at a local scale impact network-wide security properties from an insider perspective. As a test case, we study the problem of search and rescue (SAR) using unmanned aerial vehicle teams. Unmanned vehicle teams engaged in SAR are prototypical cyber-physical systems, in which local intrusions may cause global disruptions. Here, we describe how the insider modeling framework for cyber-physical dynamics applies to this problem and present results of a network-wide assessment of security properties of the system. We use this assessment to design a security protection for the system in which we use cryptographically secure computation techniques to limit the amount of information sharing required between system components without degrading the correct operation of the system. We show how the application of these techniques on a local scale impacts the security properties of the system on a global scale.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049352433&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10630/106300G/A-graph-theoretic-understanding-of-network-wide-implications-of-local/10.1117/12.2305957.pdf	maybe
Efficient structure from motion on large scenes using UAV with position and pose information	In this paper, we exploit prior information from global positioning systems and inertial measurement units to speed up the process of large scene reconstruction from images acquired by Unmanned Aerial Vehicles. We utilize weak pose information and intrinsic parameter to obtain the projection matrix for each view. As compared to unmanned aerial vehicles' flight altitude, topographic relief can usually be ignored, we assume that the scene is flat and use weak perspective camera to get projective transformations between two views. Furthermore, we propose an overlap criterion and select potentially matching view pairs between projective transformed views. A robust global structure from motion method is used for image based reconstruction. Our real world experiments show that the approach is accurate, scalable and computationally efficient. Moreover, projective transformations between views can also be used to eliminate false matching.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10615/106153F/Efficient-structure-from-motion-on-large-scenes-using-UAV-with/10.1117/12.2304782.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046403020&origin=inward	no
Persistent surveillance with small Unmanned Aerial Vehicles (sUAV): a feasibility study	In typical Intelligence Surveillance and Reconnaissance (ISR) missions, persistent surveillance is commonly defined as the exercise of automatic intelligence discovery by monitoring a wide area coverage at a high altitude leveraging an aerial platform (manned or unmanned). It can be large enough to carry a matrix of high resolution cameras and a rack of high performance computing images processing and exploitation units (PEU). The majority of the small unmanned aerial vehicles (sUAV) are able to carry optics payloads, allowing them to take aerial images from strategic viewpoints. This capability constitutes a key enabler for an immense number of applications, such as crowd monitoring, search and rescue, surveillance scenario, industrial inspection and so on. The constrained onboard processing power in addition to the strict limit in the flying time of sUAV are amongst the serious challenges that have to be overcome to enable a cost effective persistent surveillance based on sUAV platforms. In this paper, we conduct a feasibility study for developing a potential sUAV based persistent surveillance system with tethered power supply.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057397434&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10796/107960K/Persistent-surveillance-with-small-Unmanned-Aerial-Vehicles-sUAV--a/10.1117/12.2326693.pdf	no
Hierarchical control design for a shipboard power system with DC distribution and energy storage aboard future more-electric ships		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85034230013&origin=inward	no
Autonomous Thermalling as a Partially Observable Markov Decision Process		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062954144&origin=inward	no
Contact-Aided Invariant Extended Kalman Filtering for Legged Robot State Estimation		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062981334&origin=inward	no
The development of counter-unmanned aerial vehicle technologies	Unmanned aerial vehicle (UAV) today play an increasing role in many public missions such as border surveillance, wildlife surveys, military training, weather monitoring, local law enforcement and so on. Due to its advantages such as low life-cycle costs and fewer restrictions on use, UAV has become important military weapon, then Counter-Unmanned Aerial Vehicle (CUAV) technology also become a research focus. Small drones that are not easily detectable have become an emerging threat. Low-cost and effective counter-UAV methods are explored for many countries. The CUAV technologies include traditional air defense weapon system, electronic warfare, UAV, laser weapons and so on. With the development of high-power lasers and continuous advances in beam control technology, CUAV laser weapons will become more practical.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10835/108351O/The-development-of-counter-unmanned-aerial-vehicle-technologies/10.1117/12.2505628.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053474888&origin=inward	yes
A high-resolution ground moving target imaging method based on motion compensation	Imaging and parameter estimation of moving targets in airborne single-antenna high-resolution synthetic aperture radar (SAR) system is affected by motion errors, which cause defocusing and dislocation of moving targets. Motion errors derive from platform flight deviation and unknown target velocity and estimating all motion errors once is difficult because both aspects influence each other, especially in unmanned aerial vehicle (UAV) systems. We find that the platform flight deviation has the same effect on stationary targets and moving ones. Exploiting this similarity, we propose a novel ground moving target motion compensation method. Platform flight errors are extracted from stationary targets by autofocus algorithms and compensated for moving targets. And then Hough transform (HT) and Map-Drift (MD) technique is used to estimate the radial velocity and the along-track velocity, and range cell migration correction (RCMC) is completed by estimated velocities. Furthermore, PGA technique is adopted to estimate and correct residual phase errors. The effectiveness of the proposed algorithm is validated by the real data.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10835/108351E/A-high-resolution-ground-moving-target-imaging-method-based-on/10.1117/12.2505135.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053441699&origin=inward	no
Prediction of control effectiveness for a highly swept unmanned air vehicle configuration		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85023596877&origin=inward	no
Infrared search and track performance estimates for detection of commercial unmanned aerial vehicles	Unmanned aerial vehicles (UAVs) have become more readily available in the past 5 years and are proliferating rapidly. New aviation regulations are accelerating the use of UAVs in many applications. As a result, there are increasing concerns of potential air threats in situational environments including commercial airport security and drug trafficking. In this study, radiometric signatures of commercially available miniature UAVs is determined for long-wave infrared (LWIR) bands in both clear sky and partial cloudy conditions. Results are presented that compare LWIR performance estimates for the detection of commercial UAVs via infrared search and track (IRST) systems with two candidate sensors.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10625/106250Y/Infrared-search-and-track-performance-estimates-for-detection-of-commercial/10.1117/12.2305559.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048117216&origin=inward	no
Scanning LiDAR for airfield damage assessment	The ability to rapidly assess damage to military infrastructure after an attack is the object of ongoing research. In the case of runways, sensor systems capable of detecting and locating craters, spall, unexploded ordinance, and debris are necessary to quickly and efficiently deploy assets to restore a minimum airfield operating surface. We describe measurements performed using two commercial, robotic scanning LiDAR systems during a round of testing at an airfield. The LiDARs were used to acquire baseline data and to conduct scans after two rounds of demolition and placement of artifacts for the entire runway. Configuration of the LiDAR systems was sub-optimal due to availability of only two platforms for placement of sensors on the same side of the runway. Nevertheless, results prove that the spatial resolution, accuracy, and cadence of the sensors is sufficient to develop point cloud representations of the runway sufficient to distinguish craters, debris and most UXO. Location of a complementary set of sensors on the opposite side of the runway would alleviate the observed shadowing, increase the density of the registered point cloud, and likely allow detection of smaller artifacts. Importantly, the synoptic data acquired by these static LiDAR sensors is dense enough to allow registration (fusion) with the smaller, denser, targeted point cloud data acquired at close range by unmanned aerial systems. The paper will also discuss point cloud manipulation and 3D object recognition algorithms that the team is developing for automatic detection and geolocation of damage and objects of interest.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10646/106461A/Scanning-LiDAR-for-airfield-damage-assessment/10.1117/12.2305377.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049216982&origin=inward	no
Flexible human-definable automatic behavior analysis for suspicious activity detection in surveillance cameras to protect critical infrastructures	Surveillance systems are essential for the protection of military compounds and critical infrastructures. Automatic recognition of suspicious activities can augment human operators to find relevant threats. Common solutions for behavior analysis or action recognition require large amounts of training data. However, suspicious activities and threats are rare events, and the modus operandi of enemies may suddenly change, which makes it unrealistic to obtain sufficient training data in realistic situations. Therefore, we developed a demonstrator for the recognition of suspicious activity that allows users to easily define new alerts based on their expert knowledge. We developed basic modules for the computation of object detections, tracking and action recognition to generate features. The user is able to specify complex behavior with Symbols and Sentences. Symbols are low-level descriptions to analyze combinations of features. An example of a symbol is ‘approach_gate’, which consists of three conditions related to: the distance to the gate, the speed of a person and whether a person is on the compound. Sentences are high-level descriptions to analyze temporal ordering. An example of a sentence with temporal ordering is ‘entering the compound’, which consists of first approaching the gate, then entering the gate, and finally being on the compound. The demonstrator is compliant with the SAPIENT architecture, which uses multiple low-level Autonomous Sensor Modules (ASM) and a High-Level Decision Making Module (HLDMM). Features and symbols are computed in an ASM and sentences are computed in the HLDMM. Our demonstrator is tested on a multi-camera dataset to recognize suspicious behavior (e.g., digging for placement of improvised explosive devices, climbing over a fence, approaching the compound, and car standing on the road), allowing the user to interactively creates and modifies both symbols and sentences to mitigate new threats that were not implemented during design time.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057423651&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10802/108020N/Flexible-human-definable-automatic-behavior-analysis-for-suspicious-activity-detection/10.1117/12.2325454.pdf	no
HERACLES: EU-backed multinational project on cultural heritage preservation	In 2016, the European Unions’ Research and Innovation program Horizon 2020 launched the multi-national project called HEritage Resiliance Against CLimatic Events on Site (HERACLES). The goal of this project is to design, validate and promote effective and sustainable solutions against potential threats climatic changes can bring about on the cultural heritage. For this purpose, knowledge and experiences of multiple research facilities and versatile groups of end-users in different European countries will be bundled and synergetically benefited of. In this paper, we will provide an overview about HERACLES project while a particular focus will be put on the activities concerning close-range Remote Sensing data processing. By exploiting image and laser data acquired from UAVs and from the ground, we strive for precise and reliable 3D models that are useful for representation of the scene on the desired level of detail and thus for assessing potential damages and estimating risks. From oblique UAV-borne imagery, we will obtain textured airborne 3D models using photogrammetric methods of image alignment, dense point cloud reconstruction, meshing and texturing. To provide coverage for the objects’ interiors, very dense point clouds from terrestrial laser scans can be additionally captured. A triangle mesh is obtained from these points and textured by means of terrestrial high-resolution photos, whereby the registration took place using a point-based method. We identified two main challenges: first, the reconstruction results from high-resolution UAV images were not always satisfying due to a low coverage; to cope with this, extensive interactive corrections must be undertaken. Moreover, seamless merging of triangle meshes provided by aerial photogrammetric reconstruction and by terrestrial laser scans is cumbersome because of varying density and accuracy of 3D points in both meshes.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057320558&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10790/107900D/HERACLES-EU-backed-multinational-project-on-cultural-heritage-preservation/10.1117/12.2324661.pdf	no
Performance improvement of small unmanned aerial vehicles through Gust energy harvesting		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045209107&origin=inward	no
WaterGAN: Unsupervised generative network to enable real-time color correction of monocular underwater images		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063306563&origin=inward	no
Removing the bottleneck: utilizing autonomy to manage multiple UAS sensors from inside a cockpit	The U.S. Army Aviation Development Directorate, in collaboration with United Technologies Research Center and University of California: Santa Barbara, has developed a system for controlling multiple unmanned aerial systems (UAS) from a manned helicopter cockpit. Similar manned-unmanned teaming (MUM-T) capabilities have been successfully fielded in the AH-64E attack helicopter, with the Copilot/Gunner (CPG) managing one UAS; however, managing multiple UAS in the same manner would result in a cognitive processing bottleneck within the CPG. Removing this bottleneck requires implementation of autonomous behaviors and human-centered design principles to avoid detracting from the CPG’s primary mission. This research evaluates these concepts with respect to multi-UAS MUM-T performance. Sixteen U.S. Army aviators with MUM-T experience participated in the experiment. The first phase assessed the performance of a CPG managing multiple UAS simultaneously in a fixed-base MUM-T simulator featuring touchscreen displays, simulated aided target recognition, and task-level delegation of control (DelCon). The second phase iteratively improved the DelCon capability and added an Attention Allocation Aid (AAA) in the form of real-time gaze tracking feedback. The research demonstrated that a single crewmember can manage at least three UAS assets while executing complex multi- UAS MUM-T tactical missions. The DelCon capability allowed participants to more efficiently perform a subset of mission tasks. Furthermore, subjective ratings from the participants indicated a willingness to accept the AAA and DelCon systems. Overall, this research demonstrates the potential of utilizing automation and human-centered design principles to overcome cognitive bottlenecks and achieve greater system efficiency.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10640/106400L/Removing-the-bottleneck--utilizing-autonomy-to-manage-multiple-UAS/10.1117/12.2303915.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050800132&origin=inward	no
