Ref,Paper Title,App Domain,DL Model Under Attack,System Under attack,Attack Scenario,Attacked Target,Attacker's Capability,Attack Strategy,Attacker's System/Model knowledge,Attack/Error Specificity,Failure Specificity,Model-level results,System-level results (Failure Propagation)
11,Attack and fault injection in self-driving agents on the CARLA simulator – experience report,Cars,ResNet-34 (E2E),Learning by cheating agent in CARLA (SSF),AVs on a road with pedestrians and other vehicles,Input image,"Manipulating the neurons and weights of the NN, or manipulating input images",Evasion,"WM & BM / BS",AG / EG,Specific,"Misprediction of the steering wheel angle and failure to detect traffic lights","Losing lane, going offroad, crashing into buildings, ignoring traffic lights, going to crossroads"
12,Dirty road can attack: Security of deep learning based automated lane centering under Physical-World attack,Cars,OpenPilot's Automated Lane Centering (ALC) (E2E),Automated Lane Centering (ALC) system in LGSVL (SSF),AVs driving,Roads,Placing patches on the road surface,Evasion,WM / BS,AG / ES,Specific,Misprediction of the steering wheel angle,"Driving off-road, colliding with road curbs, crashing into obstacles, and having a car crash with oncoming traffic"
13,Invisible for both camera and LiDAR: Security of multi-sensor fusion based perception in autonomous driving,Cars,"(A5-L, A5-C) In-road obstacle detection (Perception)",Baidu Apollo in LGSVL simulator v5 (MSF),AV on a single lane road,Roads,Placing a 3D traffic cone that resembles a broken cone on the road,Evasion,WM / BS,AS / ES,Specific,Failing to detect an adversarial object,Crashing into the adversarial object
14,Too good to be safe: Tricking lane detection in autonomous driving with crafted perturbations,Cars,Tesla's APE lane recognition (AutoPilot ECU, Electronic Control Unit) (Perception),Tesla model S (SSF),"AVs on roads driving into empty spaces in road line markings",Roads,Painting or attaching perturbations on the road surface,Evasion,BM / BS,AG / ES,Specific,Detecting the perturbation as a real line,Following the fake line into oncoming traffic
15,Robust roadside physical adversarial attack against deep learning in LiDAR perception modules,Cars,"PointRCNN and PointPillar and PV-RCNN (Perception)",Baidu Apollo in LGSVL simulator (Lincoln MKZ car) (MSF),AVs driving on a single lane road,Roadsides,Put adversarial objects on the roadside,Evasion,"WM & BM / BS",AG / ES,Generic,Detecting adversarial objects as real cars,Stopping completely or suddenly changing lane
16,ML-driven malware that targets AV safety,Cars,"Kalman Filter in YOLO v3 (Perception)",Baidu Apollo in LGSVL simulator (MSF),AVs on a road with pedestrians and vehicles in front of the car,Input image,Installing malware to gain access to the live camera feed and modify its ourput,Evasion,WM / WS,AS / ES,Specific,"Misdetection or failure to detect cars or pedestrians","Emergency braking or unsafe acceleration leading to a car crash"
17,Attacking vision-based perception in end-to-end autonomous driving models,Cars,"Conditional Imitation and Reinforcement learning (E2E) in CARLA",End to end driving system in CARLA (SSF),"AVs in turns and intersections",Roads,"Attaching stickers or painting adversarial lane markings on the road.",Evasion,BM / BS,AS / ES,Specific,Incorrectly detecting lines (wrong control decisions),"Moving into another lane or veering out of bounds, resulting in collisions with road walls"
18,Feasibility and suppression of adversarial patch attacks on end-to-end vehicle control,Cars,DriveNet (an extension of Dave2) (E2E),Autonomous Driving agent in CARLA (SSF),AVs driving past a roadside billboard,Billboard,Placing adversarial patches on billboards located on the right side of the roadside,Evasion,WM / BS,AS / EG,Specific,Misprediction of the steering wheel angle,Collision with the poster
19,Phantom of the ADAS: split-second phantom attacks,Cars,"Faster_rcnn_inception_v2 and Tesla's (Perception) model","Tesla Model X HW 2.5/3 & Renault Captur (equipped with Mobileye 630) (MSF)",AVs driving,"The environment (anywhere with a smooth surface)",Projecting a phantom using a projector or embedding the phantom on a digital advertising billboard,Evasion,BM / BS,AG / EG,Generic,Detecting phantoms as real road signs or real-world objects,"Acting according to the detected object (Brake or decelerate or follow a phantom lane into collision or into the upcoming lane and, etc...)"
20,Adversarial sensor attack on LiDAR-based perception,Cars,DNN of the Lidar-based (Perception) module in Baidu Apollo,Driving agent in Baidu Apollo (MSF),AVs driving,LIDAR Sensor,Injecting spoofed LiDAR data points by shooting lasers at the AV,Evasion,WM / BS,AG / ES,Specific,Detecting nonexistent obstacles,"Emergency braking or the vehicle freezing"
21,Trojaning attack on neural networks,Cars,NN model of Udacity Simulator (E2E),Udacity Simulator (SSF),AVs driving,Billboards,Retraining the model with Trojan data and attaching it to billboards.,Poisoning,WM / BS,AG / ES,Specific,Misprediction of the steering wheel angle,"Moving to the right and then going off the road"
